"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1140",0.863383832068224,0.00128276180994469,-0.12,-0.171,0.11,0.057
"result.1141",0.963188680421732,0.0755529113960933,-0.194,-0.081,0.108,0.057
"result.1142",0.995795473998516,0.221790491756044,-0.29,-0.044,0.11,0.057
"result.1143",0.999244053404429,0.0872146314236392,-0.344,-0.077,0.109,0.057
"result.1144",0.968636805822649,0.21940368851782,-0.203,-0.044,0.109,0.057
"result.1145",0.96951209817419,0.00295255502886371,-0.204,-0.158,0.109,0.057
"result.1146",0.726501635316881,0.000746546602313103,-0.065,-0.181,0.109,0.057
"result.1147",0.787868641384488,0.0647929200174413,-0.086,-0.086,0.108,0.057
"result.1148",0.99484173017124,0.00405613777595237,-0.283,-0.151,0.111,0.057
"result.1149",0.991477088346717,0.0585516836355288,-0.262,-0.089,0.11,0.057
"result.1150",0.775036477856633,0.000619425008755226,-0.082,-0.184,0.108,0.057
"result.1151",0.879446002686413,0.00665526572528785,-0.129,-0.14,0.11,0.057
"result.1152",0.935871615301882,0.00594690688067911,-0.162,-0.143,0.107,0.057
"result.1153",0.63482613850422,0.00442859571340426,-0.038,-0.149,0.11,0.057
"result.1154",0.997282046147205,0.0246237636329643,-0.303,-0.111,0.109,0.056
"result.1155",0.999415151798888,0.0718544882773053,-0.353,-0.083,0.109,0.057
"result.1156",0.501320525740819,0.000564491784424193,0,-0.186,0.107,0.057
"result.1157",0.999876536494678,0.148428153524822,-0.396,-0.059,0.109,0.057
"result.1158",0.998824619443458,0.177210690386047,-0.334,-0.053,0.11,0.057
"result.1159",0.777637371411659,0.000950827902895024,-0.083,-0.177,0.108,0.057
"result.1160",0.998371976984971,0.172113597014068,-0.324,-0.054,0.11,0.057
"result.1161",0.940710926345518,8.03950001837528e-06,-0.17,-0.236,0.109,0.057
"result.1162",0.450998362344277,0.000682497783145664,0.014,-0.184,0.108,0.057
"result.1163",0.864739163048299,0.00274361177482207,-0.12,-0.157,0.109,0.057
"result.1164",0.930985904821622,0.00729560302906462,-0.16,-0.138,0.108,0.057
"result.1165",0.994229141026809,0.0763749152593503,-0.275,-0.081,0.109,0.057
"result.1166",0.944425319258647,0.00147008355882539,-0.172,-0.168,0.108,0.057
"result.1167",0.890456206314202,0.0217780925622737,-0.135,-0.115,0.11,0.057
"result.1168",0.972809098283308,0.00332237061503693,-0.208,-0.156,0.108,0.058
"result.1169",0.552694297220485,0.0031704121887961,-0.014,-0.155,0.109,0.057
"result.1170",0.998089508730237,8.51062241453704e-05,-0.313,-0.214,0.109,0.058
"result.1171",0.94169000270628,0.00145993674712908,-0.173,-0.168,0.111,0.056
"result.1172",0.998815775491115,0.338212843746483,-0.327,-0.024,0.108,0.057
"result.1173",0.890604677133485,0.301310356424522,-0.133,-0.029,0.108,0.057
"result.1174",0.969668147794493,0.146358754765531,-0.207,-0.06,0.11,0.057
"result.1175",0.935098678074871,0.0551060793288063,-0.165,-0.091,0.109,0.057
"result.1176",0.475116827506759,0.000686870920513116,0.007,-0.182,0.109,0.057
"result.1177",0.998841543985567,0.423327051361727,-0.33,-0.011,0.109,0.057
"result.1178",0.982435509067776,0.21180137220098,-0.232,-0.045,0.11,0.057
"result.1179",0.990732385416194,0.00326564997239354,-0.254,-0.154,0.108,0.057
"result.1180",0.935322820617344,0.145456610026591,-0.167,-0.06,0.11,0.057
"result.1181",0.95934597504754,0.214130692159008,-0.189,-0.045,0.109,0.057
"result.1182",0.921635315292362,0.000186039123588722,-0.154,-0.203,0.109,0.057
"result.1183",0.667616439939306,0.00392881106389564,-0.048,-0.152,0.111,0.057
"result.1184",0.999293695783008,0.0191178157942617,-0.346,-0.118,0.109,0.057
"result.1185",0.859570500378973,0.10271251861924,-0.118,-0.072,0.11,0.057
"result.1186",0.801065973344889,0.354131944782805,-0.091,-0.021,0.108,0.057
"result.1187",0.747240392425245,0.0125998060190338,-0.072,-0.128,0.108,0.058
"result.1188",0.951536034567541,0.00397980451707869,-0.179,-0.15,0.108,0.057
"result.1189",0.930870457219144,0.00639211857183553,-0.163,-0.14,0.11,0.056
"result.1190",0.584806538520375,0.0405749955067638,-0.023,-0.1,0.107,0.057
"result.1191",0.996703854879363,0.00299177350606783,-0.295,-0.155,0.109,0.057
"result.1192",0.999540992201925,0.0133259520221972,-0.363,-0.125,0.11,0.057
"result.1193",0.978065208810915,0.458542516607031,-0.221,-0.006,0.11,0.057
"result.1194",0.9989886959709,0.184382952594445,-0.331,-0.051,0.108,0.057
"result.1195",0.999886508106527,0.129969956635183,-0.404,-0.064,0.111,0.057
"result.1196",0.994347286032345,0.0352404361533842,-0.278,-0.102,0.11,0.057
"result.1197",0.996488105929409,0.00580943729555516,-0.292,-0.144,0.109,0.057
"result.1198",0.993894209146773,0.0489482699157481,-0.278,-0.094,0.111,0.057
"result.1199",0.983813731987186,0.0635357790255766,-0.231,-0.087,0.108,0.057
"result.1200",0.999881082863244,0.118099648484921,-0.398,-0.068,0.109,0.058
"result.1201",0.999853878952398,0.00526839621095787,-0.397,-0.146,0.111,0.057
"result.1202",0.980566602628305,0.00148169413250254,-0.226,-0.17,0.11,0.057
"result.1203",0.925731599598374,0.00277724659338674,-0.158,-0.157,0.109,0.057
"result.1204",0.223403983464434,0.0357007801207018,0.083,-0.103,0.108,0.057
"result.1205",0.786188105939084,0.000350192330708543,-0.087,-0.192,0.109,0.057
"result.1206",0.901282623040181,0.000228265012802598,-0.138,-0.197,0.107,0.057
"result.1207",0.986564754946724,0.0179920632624159,-0.243,-0.119,0.11,0.057
"result.1208",0.635990734935859,0.00582455891193323,-0.038,-0.142,0.108,0.057
"result.1209",0.999717461965581,0.154605899039855,-0.377,-0.057,0.11,0.056
"result.1210",0.998872139753421,0.104048926314117,-0.335,-0.071,0.11,0.056
"result.1211",0.999761520137038,0.558537046980924,-0.383,0.009,0.11,0.057
"result.1212",0.824425319487193,0.0891176034313914,-0.1,-0.077,0.108,0.057
"result.1213",0.710482699945651,0.0400760468940762,-0.06,-0.1,0.108,0.057
"result.1214",0.984622286725811,0.000204892360831765,-0.237,-0.199,0.11,0.057
"result.1215",0.623485041141526,0.319457513434157,-0.034,-0.027,0.109,0.057
"result.1216",0.987358004097779,0.0123783951302053,-0.242,-0.127,0.109,0.057
"result.1217",0.997963078262297,0.0302901570901291,-0.314,-0.107,0.11,0.057
"result.1218",0.988895709199552,0.00144465655459214,-0.249,-0.168,0.109,0.057
"result.1219",0.669988912185757,0.00525131130315992,-0.048,-0.144,0.109,0.057
"result.1220",0.962446338998192,0.0351491512953477,-0.192,-0.103,0.108,0.057
"result.1221",0.936075739274807,0.00722387817996617,-0.164,-0.139,0.108,0.057
"result.1222",0.802285189505275,0.0849221485714856,-0.092,-0.078,0.108,0.057
"result.1223",0.998652912793981,0.0283096835162547,-0.332,-0.108,0.111,0.057
"result.1224",0.784129402314349,0.00506673135787616,-0.085,-0.148,0.108,0.057
"result.1225",0.995801477933145,0.138833097344089,-0.288,-0.062,0.11,0.057
"result.1226",0.992991316163182,0.033131164457778,-0.266,-0.105,0.109,0.057
"result.1227",0.85573456825848,0.00404803095942319,-0.115,-0.15,0.108,0.057
"result.1228",0.999338419307184,0.0622729780775324,-0.349,-0.088,0.109,0.057
"result.1229",0.987093658870304,0.156590618523989,-0.241,-0.058,0.108,0.057
"result.1230",0.998623713553594,0.382016854549098,-0.327,-0.017,0.109,0.057
"result.1231",0.809998090073531,0.021893087521318,-0.095,-0.114,0.108,0.057
"result.1232",0.924185080089481,0.00879745422276501,-0.157,-0.136,0.11,0.057
"result.1233",0.827450518032438,0.0114621415447732,-0.105,-0.129,0.111,0.057
"result.1234",0.861821690224713,0.00588132836000677,-0.12,-0.142,0.111,0.057
"result.1235",0.999227888223905,0.00951586011138061,-0.349,-0.133,0.111,0.057
"result.1236",0.956562569595941,0.131365747221896,-0.184,-0.064,0.107,0.058
"result.1237",0.993022843562062,0.0393745312987388,-0.266,-0.1,0.109,0.057
"result.1238",0.454204472736877,0.00773849069418275,0.013,-0.137,0.108,0.057
"result.1239",0.621697220996518,0.0222658551865537,-0.033,-0.114,0.108,0.057
"result.1240",0.913457209913544,0.0904019030250269,-0.147,-0.076,0.108,0.057
"result.1241",0.99998761088824,0.215238688298339,-0.454,-0.045,0.112,0.057
"result.1242",0.999788128113093,0.311034852667191,-0.387,-0.028,0.11,0.057
"result.1243",0.942808092241286,0.0688418039271752,-0.17,-0.084,0.108,0.056
"result.1244",0.942854594095168,0.00316302715237482,-0.172,-0.154,0.109,0.057
"result.1245",0.998111636542333,0.00372945060591068,-0.32,-0.151,0.111,0.056
"result.1246",0.998998528748719,0.15242272916152,-0.337,-0.058,0.109,0.057
"result.1247",0.845378351994209,0.00638217938110408,-0.109,-0.141,0.108,0.057
"result.1248",0.939579945040503,0.0238097298431407,-0.17,-0.113,0.109,0.057
"result.1249",0.956590105438601,0.00306745995177893,-0.185,-0.157,0.108,0.057
"result.1250",0.993246940486737,0.00453444835554295,-0.27,-0.147,0.11,0.056
"result.1251",0.904990913492375,0.0111467547552779,-0.142,-0.13,0.109,0.057
"result.1252",0.989274130413245,0.0699954260211854,-0.25,-0.084,0.109,0.057
"result.1253",0.980550455091108,0.17014322630192,-0.224,-0.054,0.108,0.057
"result.1254",0.940188507932153,5.93822830656787e-05,-0.171,-0.217,0.11,0.057
"result.1255",0.995438204754395,0.00364236886259905,-0.281,-0.153,0.108,0.057
"result.1256",0.998908176887889,0.0819179423442905,-0.338,-0.079,0.111,0.057
"result.1257",0.995654663066868,0.0387784618730231,-0.286,-0.101,0.109,0.057
"result.1258",0.994800591212638,0.00069808308074093,-0.277,-0.182,0.108,0.057
