"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.170",0.270200808122397,0.980918388533071,0.066,0.116,0.107,0.056
"result.171",0.651743980428566,0.999904744650031,-0.041,0.209,0.106,0.056
"result.172",0.511901573795901,0.998956995580883,-0.003,0.171,0.107,0.056
"result.173",0.719825643383211,0.979059864260112,-0.062,0.114,0.107,0.056
"result.174",0.275097227821998,0.84168115227912,0.064,0.057,0.107,0.056
"result.175",0.42457672342714,0.999875269005101,0.021,0.205,0.107,0.056
"result.176",0.513941710748019,0.999342133982206,-0.003,0.181,0.107,0.056
"result.177",0.920197230382172,0.91401452386758,-0.151,0.077,0.108,0.056
"result.178",0.704309088797343,0.985264939420731,-0.057,0.122,0.106,0.056
"result.179",0.661377388979421,0.999778978689282,-0.044,0.196,0.106,0.056
"result.180",0.496082839435321,0.994386416953435,0.001,0.142,0.108,0.056
"result.181",0.318288185589092,0.999053719655014,0.052,0.175,0.109,0.056
"result.182",0.61236902495043,0.999999811269602,-0.031,0.256,0.108,0.056
"result.183",0.666471612651918,0.99999981099096,-0.046,0.24,0.107,0.056
"result.184",0.381894703096123,0.995504053015316,0.033,0.147,0.108,0.057
"result.185",0.952024822987667,0.999999811343419,-0.178,0.241,0.107,0.056
"result.186",0.609114640552697,0.993707503048518,-0.029,0.14,0.106,0.056
"result.187",0.290771549902373,0.997799231268309,0.059,0.16,0.107,0.056
"result.188",0.522677402781096,0.999858199023524,-0.006,0.203,0.107,0.056
"result.189",0.392323599097568,0.9998890989578,0.03,0.204,0.108,0.056
"result.190",0.0958115154201068,0.999301731119989,0.141,0.179,0.108,0.056
"result.191",0.0162238730284797,0.961964727732025,0.226,0.1,0.106,0.056
"result.192",0.169667227069116,0.998759979794458,0.102,0.171,0.107,0.056
"result.193",0.349325172657129,0.999999811122478,0.042,0.251,0.108,0.056
"result.194",0.951724878601703,0.997701588291326,-0.181,0.159,0.109,0.056
"result.195",0.777239493230036,0.999499996344047,-0.084,0.185,0.11,0.056
"result.196",0.631711091611161,0.986718508042403,-0.036,0.124,0.107,0.056
"result.197",0.840954218864416,0.999989024288499,-0.107,0.228,0.107,0.056
"result.198",0.386182138088438,0.998481961509995,0.031,0.167,0.107,0.056
"result.199",0.0550352299954087,0.999931564436709,0.172,0.213,0.108,0.056
"result.200",0.628562324819625,0.998599839541605,-0.035,0.168,0.106,0.056
"result.201",0.166394956668396,0.961391679700527,0.106,0.099,0.11,0.056
"result.202",0.74969081630097,0.999999811188909,-0.072,0.25,0.108,0.057
"result.203",0.627571000762663,0.773324451468444,-0.035,0.042,0.107,0.056
"result.204",0.251811384818279,0.98333328996064,0.071,0.119,0.106,0.056
"result.205",0.687173697324884,0.999391898284743,-0.052,0.182,0.107,0.056
"result.206",0.493800101036167,0.99948886432131,0.002,0.185,0.107,0.056
"result.207",0.00967232323706507,0.828264596551067,0.25,0.054,0.107,0.056
"result.208",0.400594717554203,0.999999810850689,0.027,0.25,0.107,0.057
"result.209",0.660150682125577,0.997357931055492,-0.044,0.157,0.108,0.056
"result.210",0.721422318637857,0.999999810944977,-0.063,0.249,0.107,0.056
"result.211",0.230796314997221,0.817010028965807,0.079,0.051,0.107,0.056
"result.212",0.769627312156967,0.999302912232601,-0.08,0.179,0.108,0.056
"result.213",0.986355807902425,0.998116736573253,-0.237,0.163,0.108,0.056
"result.214",0.774741185348868,0.998555188928309,-0.08,0.168,0.106,0.056
