"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1391",0.209909934454259,0.999999810777236,0.085,0.333,0.105,0.057
"result.1392",0.0178849998765896,0.999999811163747,0.223,0.244,0.106,0.057
"result.1393",0.0587743233698552,0.999849341280355,0.167,0.203,0.106,0.057
"result.1394",1.8592280869007e-07,0.999999811673475,0.476,0.244,0.109,0.056
"result.1395",0.208669259950318,0.999999810845204,0.087,0.251,0.106,0.057
"result.1396",0.0188452343162459,0.999999810916737,0.221,0.328,0.106,0.057
"result.1397",0.228074613550462,0.999973596243567,0.078,0.228,0.105,0.057
"result.1398",0.189722323144934,0.999999810856097,0.094,0.356,0.106,0.057
"result.1399",0.00428284663438394,0.999999810830296,0.28,0.295,0.107,0.057
"result.1400",0.339030212645571,0.999999811696617,0.044,0.376,0.106,0.057
"result.1401",0.0114663302722237,0.999999810608519,0.242,0.299,0.107,0.057
"result.1402",0.0650304194511935,0.99999981054502,0.159,0.297,0.105,0.057
"result.1403",0.328323495626865,0.999999810392206,0.048,0.31,0.107,0.057
"result.1404",0.260678209564761,0.999999811155211,0.069,0.27,0.106,0.057
"result.1405",0.248726494602786,0.999999810914643,0.072,0.304,0.106,0.057
"result.1406",0.000949835440065955,0.999863044697697,0.331,0.205,0.107,0.056
"result.1407",0.126958184429173,0.999999810330417,0.122,0.331,0.107,0.057
"result.1408",0.0397750844562585,0.999999810727416,0.185,0.32,0.105,0.057
"result.1409",0.0421197243892961,0.999591598495817,0.182,0.188,0.105,0.056
"result.1410",0.0470223033897495,0.999938538387106,0.178,0.217,0.106,0.057
"result.1411",0.0559600627070874,0.999995495227733,0.168,0.238,0.105,0.057
"result.1412",0.00377833351031902,0.999999811449851,0.282,0.244,0.106,0.057
"result.1413",0.00479175437052743,0.999641298918838,0.278,0.191,0.107,0.057
"result.1414",0.49661120774418,0.999999811272426,0.001,0.271,0.105,0.057
"result.1415",0.000543586742590106,0.999999811635593,0.344,0.307,0.106,0.057
"result.1416",0.134521461270142,0.999999811152582,0.117,0.297,0.106,0.057
"result.1417",0.0534667168099047,0.999999811231512,0.17,0.247,0.105,0.057
"result.1418",0.0897388350282103,0.999999810256499,0.141,0.337,0.105,0.058
"result.1419",0.0168572152101316,0.999999810953373,0.227,0.274,0.107,0.057
"result.1420",0.75725020769774,0.999999810388477,-0.073,0.375,0.105,0.057
"result.1421",6.07732368141564e-05,0.999999811107546,0.404,0.248,0.106,0.057
"result.1422",0.0528420213626437,0.999999810929279,0.172,0.289,0.106,0.057
"result.1423",0.000173215113525018,0.999626661870308,0.377,0.192,0.106,0.057
"result.1424",0.217111901394311,0.999999810507909,0.083,0.281,0.105,0.057
"result.1425",0.169620041651133,0.999999811036273,0.101,0.283,0.105,0.057
"result.1426",0.012646909564514,0.999999811690787,0.239,0.244,0.107,0.057
"result.1427",0.0238452355635298,0.999256549934471,0.21,0.181,0.106,0.057
"result.1428",0.0185467435735863,0.99956751170726,0.221,0.189,0.106,0.057
"result.1429",0.0679355431771296,0.999999810834937,0.16,0.322,0.107,0.057
"result.1430",0.01880896758995,0.999999810760049,0.219,0.246,0.105,0.056
"result.1431",0.0648096607435696,0.999999810825634,0.161,0.275,0.106,0.057
"result.1432",0.0777494192308165,0.999971136923408,0.15,0.225,0.106,0.057
"result.1433",0.306883230239361,0.999999811768468,0.053,0.28,0.105,0.057
"result.1434",0.000105101231331356,0.999999810590979,0.39,0.245,0.106,0.057
"result.1435",0.000837163033521023,0.99999981046831,0.329,0.258,0.105,0.057
"result.1436",2.5607080882961e-06,0.999999811171132,0.447,0.26,0.106,0.057
