"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1352",0.998349651139432,0.0535614836301336,-0.319,-0.107,0.109,0.067
"result.1353",0.992020613028322,0.401438350664091,-0.265,-0.016,0.11,0.066
"result.1354",0.99848019855389,0.0163512917832913,-0.328,-0.14,0.111,0.066
"result.1355",0.998929365169053,0.667843785257737,-0.333,0.029,0.109,0.067
"result.1356",0.997911283631494,0.450865066929058,-0.32,-0.008,0.112,0.065
"result.1357",0.999294776221456,0.842793664876259,-0.354,0.066,0.111,0.065
"result.1358",0.991215831157004,0.0265943082272597,-0.255,-0.13,0.108,0.068
"result.1359",0.978176305159854,0.202126216107099,-0.219,-0.055,0.109,0.066
"result.1360",0.986506852568482,0.0223606992860902,-0.243,-0.131,0.11,0.065
"result.1361",0.999685699120194,0.241346110299181,-0.378,-0.045,0.111,0.065
"result.1362",0.999965964495837,0.002693491629985,-0.433,-0.181,0.111,0.065
"result.1363",0.973198231784446,0.00668797979999214,-0.21,-0.164,0.109,0.066
"result.1364",0.999971069122558,0.124421895046287,-0.434,-0.075,0.11,0.066
"result.1365",0.999911846765141,0.0299514340329976,-0.419,-0.121,0.113,0.064
"result.1366",0.999992101674509,0.0937337943960529,-0.455,-0.087,0.111,0.066
"result.1367",0.795760585219866,0.212066090716802,-0.09,-0.053,0.109,0.066
"result.1368",0.716710074663439,0.147881115955255,-0.062,-0.069,0.109,0.066
"result.1369",0.963305707563,0.0672339080296909,-0.199,-0.097,0.111,0.065
"result.1370",0.998250999473323,0.283970273255435,-0.317,-0.038,0.109,0.067
"result.1371",0.997661613373859,0.340247939236514,-0.311,-0.027,0.11,0.066
"result.1372",0.99976736612615,0.116591646700025,-0.38,-0.079,0.109,0.067
"result.1373",0.99949848807153,0.0994112881360812,-0.367,-0.083,0.112,0.065
"result.1374",0.99992303314876,0.000324676895966935,-0.411,-0.223,0.11,0.065
"result.1375",0.977919381338033,0.157938049121602,-0.219,-0.066,0.109,0.066
"result.1376",0.999876185798832,0.0890886801726788,-0.403,-0.088,0.111,0.066
"result.1377",0.995488898660799,0.94967540851042,-0.283,0.109,0.109,0.066
"result.1378",1,0.00313045978515969,-0.735,-0.18,0.113,0.066
"result.1379",0.775598862888298,0.334477263248998,-0.084,-0.028,0.111,0.065
"result.1380",0.89371739269321,0.102379877725722,-0.136,-0.083,0.109,0.066
"result.1381",0.97194885523192,0.235674428522829,-0.21,-0.047,0.11,0.066
"result.1382",0.999856522703332,0.150326768071303,-0.399,-0.068,0.111,0.066
"result.1383",0.932388277285526,0.105678642031147,-0.164,-0.082,0.11,0.066
"result.1384",0.997778119716364,0.170315846096778,-0.309,-0.063,0.109,0.066
"result.1385",0.953518277763956,0.250601225140188,-0.18,-0.045,0.107,0.068
"result.1386",0.999430232670565,0.342950860363099,-0.359,-0.026,0.111,0.065
"result.1387",0.999996023913641,0.0262144781843707,-0.46,-0.127,0.11,0.065
"result.1388",0.798280493260119,0.507633632636975,-0.091,0.001,0.109,0.067
"result.1389",0.999976009378856,0.00986684911061286,-0.439,-0.151,0.111,0.065
"result.1390",0.994789965198232,0.685301743970776,-0.28,0.032,0.11,0.066
"result.1391",0.999891856862877,0.0570894469962877,-0.407,-0.103,0.111,0.065
"result.1392",0.999801984375528,0.0172142126421259,-0.387,-0.141,0.11,0.067
"result.1393",0.994690658346272,0.0183475795963068,-0.282,-0.136,0.111,0.065
"result.1394",0.993267022257687,0.00106358595713629,-0.27,-0.204,0.11,0.066
"result.1395",0.999541346514915,0.495146311791592,-0.36,-0.001,0.109,0.067
"result.1396",0.981545844778798,0.0326883613137131,-0.226,-0.122,0.108,0.066
"result.1397",0.809944749117595,0.127021593685702,-0.095,-0.075,0.109,0.066
"result.1398",0.840995495668235,0.507244658258851,-0.11,0.001,0.11,0.065
"result.1399",0.999975146287517,0.137845375384521,-0.44,-0.072,0.111,0.066
"result.1400",0.855374071888694,0.562866040851845,-0.117,0.01,0.11,0.066
"result.1401",0.999761672098974,0.543934623411451,-0.381,0.007,0.11,0.066
"result.1402",0.889699467530743,0.16036172068691,-0.135,-0.065,0.11,0.066
"result.1403",0.998552596166774,0.0472291180644797,-0.328,-0.111,0.11,0.066
"result.1404",0.969414019055355,0.0509056942262133,-0.207,-0.106,0.111,0.065
"result.1405",0.986853342031489,0.109657277798176,-0.244,-0.08,0.11,0.065
"result.1406",0.914502275205342,0.282341882387205,-0.15,-0.038,0.11,0.066
"result.1407",0.990071444536095,0.841639965502783,-0.253,0.067,0.109,0.067
"result.1408",0.99977293758556,0.045435586159,-0.383,-0.111,0.11,0.066
"result.1409",0.989509310921694,0.493945890013642,-0.258,-0.001,0.112,0.065
"result.1410",0.993691018017817,0.244414523340978,-0.273,-0.045,0.11,0.066
"result.1411",0.99987493286456,0.0232476995072755,-0.404,-0.13,0.112,0.065
"result.1412",0.962179322643928,0.221840264697182,-0.194,-0.051,0.109,0.066
"result.1413",0.998811409384857,0.260842972306869,-0.327,-0.043,0.108,0.067
"result.1414",0.940214113091359,0.848599035943699,-0.171,0.068,0.11,0.066
"result.1415",0.90567297997136,0.0471544360859034,-0.145,-0.11,0.11,0.066
"result.1416",0.998298138248762,0.273065320601702,-0.323,-0.039,0.111,0.065
"result.1417",0.999992436343455,0.057174718666598,-0.446,-0.106,0.108,0.067
"result.1418",0.920912444812404,0.126414312622626,-0.154,-0.075,0.109,0.066
"result.1419",0.996776478616379,0.366992602324303,-0.298,-0.022,0.11,0.066
"result.1420",0.999860024829356,0.656401127875366,-0.399,0.027,0.111,0.066
"result.1421",0.997651052110757,0.727560805780086,-0.311,0.04,0.11,0.065
"result.1422",0.929351604539293,0.0944864835992414,-0.162,-0.086,0.11,0.066
"result.1423",1,0.334145139788377,-0.497,-0.028,0.111,0.066
"result.1424",0.999904160440321,0.304324873233175,-0.41,-0.034,0.111,0.066
"result.1425",0.928193603177385,0.349077265839112,-0.16,-0.026,0.109,0.066
"result.1426",0.999377112550568,0.101320638241515,-0.358,-0.083,0.111,0.066
"result.1427",0.975759785866043,0.0457290883351837,-0.215,-0.112,0.109,0.066
"result.1428",0.95580971278918,0.0959586484944954,-0.186,-0.086,0.109,0.066
"result.1429",0.645619469001299,0.00154057909039518,-0.041,-0.196,0.109,0.066
"result.1430",0.995517995800694,0.238592490588278,-0.285,-0.047,0.109,0.066
"result.1431",0.986521440477922,0.498519129226006,-0.242,0,0.11,0.066
"result.1432",0.989142424748772,0.303889105874452,-0.251,-0.034,0.109,0.066
"result.1433",0.994757991249188,0.152856865084231,-0.28,-0.067,0.11,0.066
"result.1434",1,0.0361885772278698,-0.524,-0.117,0.112,0.065
"result.1435",0.99956356105153,0.720116064786829,-0.364,0.038,0.11,0.066
"result.1436",0.995635353613279,0.117345236064148,-0.286,-0.078,0.109,0.066
"result.1437",1,0.390169012534586,-0.578,-0.018,0.114,0.064
"result.1438",0.992438168033974,0.310006418663793,-0.265,-0.033,0.11,0.066
"result.1439",0.888186410321737,0.320549047700467,-0.136,-0.03,0.112,0.065
"result.1440",0.999965568276883,0.0628701516713953,-0.436,-0.1,0.112,0.065
"result.1441",0.998292938782486,0.127107854912366,-0.318,-0.075,0.109,0.066
"result.1442",0.999533785513171,0.437039011237774,-0.368,-0.01,0.112,0.065
