"","V1","V2","V3","V4","V5","V6"
"result.1",0.12475,0.99875,0.126207188915996,0.0440046259265464,0.109171443505813,0.0145617718765912
"result.2",0.86175,0.82025,-0.121117364552541,0.0132131457275262,0.110632773151552,0.0143679608609149
"result.3",0.1785,1,0.0970953043442366,0.0807799790385103,0.104637804354342,0.0148971491934241
"result.4",0.81025,1,-0.0978657281998956,0.0914381866898956,0.10956020721468,0.0143278979646618
"result.5",0.68325,1,-0.0516156537505779,0.072832840444327,0.108529586332683,0.0147716282744932
"result.6",0.8995,0.386,-0.138127134936162,-0.00447770721428127,0.107205498943747,0.0150115019413781
"result.7",0.81325,1,-0.0936253699483906,0.0826584771517766,0.104753214423382,0.0144168421867013
"result.8",0.44425,0.78025,0.0158099827413048,0.0113640939908147,0.107136628578425,0.014756121779238
"result.9",0.991,1,-0.262242201672573,0.0871332345098329,0.1108308445241,0.0148435286075515
"result.10",0.92875,1,-0.162172434757406,0.102272697003618,0.107507383963063,0.0150041346203262
"result.11",0.36525,0.9985,0.0375009053527527,0.0447207589111117,0.106800586148698,0.0144949402505044
"result.12",0.351,0.45925,0.0406371282799522,-0.00131633079009795,0.107033370074611,0.0147266660051462
"result.13",0.32025,0.99325,0.0493230185250686,0.0385980370274894,0.107686416443699,0.0147076540701952
"result.14",0.1885,0.97775,0.0961271515007678,0.029440631542564,0.107274544659467,0.0146782265874496
"result.15",0.321,0.99975,0.0491090814498635,0.0470081661629598,0.105961539221233,0.0149827854677798
"result.16",0.26975,1,0.0616679634984468,0.0787286730119386,0.106451233730212,0.0150077522383734
"result.17",0.91875,0.69325,-0.152245011333897,0.0074440399218346,0.1116311069504,0.0145707928581417
"result.18",0.933,0.996,-0.163609781789748,0.0379417187568135,0.108020804506446,0.0145194550619054
"result.19",0.85975,0.99875,-0.11867083928324,0.0547087516648985,0.107692917356604,0.0150419106183736
"result.20",0.856,0.86425,-0.115179899855867,0.0161397654660214,0.109175330428133,0.0147210704479304
"result.21",0.783,0.9955,-0.0838471858815661,0.0373685481138358,0.107075440163048,0.0144221038624977
"result.22",0.66375,0.934,-0.0436334306609289,0.0224291050764721,0.105419828515776,0.0147810392067887
"result.23",0.1845,0.99975,0.101494948274862,0.0575790073848583,0.112011281470165,0.0149591563625507
"result.24",0.923,0.9995,-0.151536661365808,0.0467519007059622,0.106256283667223,0.0148431638030639
"result.25",0.455,0.983,0.0129077337668384,0.0291698454387501,0.107874458256205,0.0140957732076275
"result.26",0.223,0.80225,0.0793365046868161,0.0123006497786353,0.107391300303504,0.0146213130751266
"result.27",0.91,0.66425,-0.147947788944987,0.00603641069164533,0.108793773747851,0.0143145033111087
"result.28",0.952,0.8965,-0.181534174965882,0.017521959116942,0.11059937706371,0.013980438453273
"result.29",0.04275,0.21225,0.181785499787991,-0.0125365879163774,0.108188984224783,0.0157536043591527
"result.30",0.59175,0.98625,-0.0234418197990835,0.0347619564601545,0.103614427934759,0.0152526233006163
