"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1211",0.988136671903981,0.933675427630913,-0.252,0.097,0.112,0.064
"result.1212",0.996597473710794,0.977151877337279,-0.292,0.134,0.108,0.067
"result.1213",0.998649116948871,0.990072585078097,-0.329,0.153,0.11,0.066
"result.1214",0.999989521594719,0.999902637378826,-0.448,0.245,0.11,0.066
"result.1215",0.974050531132884,0.716357200795864,-0.215,0.038,0.111,0.066
"result.1216",0.994225714746166,0.982772275780045,-0.273,0.141,0.108,0.067
"result.1217",0.99960277139174,0.997947627480694,-0.364,0.191,0.109,0.067
"result.1218",0.999952598515797,0.996382553811886,-0.423,0.176,0.11,0.066
"result.1219",0.973705360068321,0.877897932712134,-0.212,0.077,0.11,0.066
"result.1220",0.877940437511,0.600089506700985,-0.128,0.017,0.11,0.065
"result.1221",0.999706841057667,0.993469266948563,-0.373,0.165,0.109,0.067
"result.1222",0.998551091244339,0.995677710095927,-0.324,0.174,0.109,0.066
"result.1223",0.998530387197712,0.996478138089706,-0.332,0.174,0.112,0.065
"result.1224",0.991328097162114,0.737117797867124,-0.263,0.042,0.111,0.065
"result.1225",0.967444900410206,0.985584835292579,-0.202,0.144,0.11,0.066
"result.1226",0.998587276739189,0.989362135840637,-0.325,0.153,0.109,0.066
"result.1227",0.991153876625838,0.960159813026676,-0.262,0.114,0.111,0.065
"result.1228",0.991326449087071,0.976168086418091,-0.261,0.129,0.11,0.065
"result.1229",0.950293893117045,0.835492056714584,-0.181,0.064,0.11,0.065
"result.1230",1,0.999413063499426,-0.535,0.217,0.11,0.067
"result.1231",0.917783968231648,0.891232572540774,-0.154,0.08,0.111,0.065
"result.1232",0.965041436582259,0.969694675434655,-0.2,0.123,0.111,0.065
"result.1233",0.999877605413076,0.999085114405121,-0.405,0.202,0.112,0.065
"result.1234",0.998187012921213,0.999477594728,-0.316,0.217,0.109,0.066
"result.1235",0.926366721616396,0.886282643245195,-0.159,0.079,0.11,0.065
"result.1236",0.999711314378896,0.991476551941067,-0.371,0.16,0.109,0.067
"result.1237",0.991246922495525,0.881368889804313,-0.26,0.078,0.11,0.066
