"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1470","0.00206532073681797","0.0173273457608276","0.306","-0.143","0.107","0.068"
"result.1471","6.89745292164389e-05","0.00494887876018513","0.402","-0.175","0.107","0.068"
"result.1472","1.86143245283116e-07","0.00205033509357211","0.482","-0.2","0.106","0.07"
"result.1473","0.000276202940650609","0.00895848062448912","0.365","-0.162","0.106","0.069"
"result.1474","0.00036719714634892","0.0176177854100881","0.357","-0.145","0.106","0.069"
"result.1475","0.00315843489066043","0.062125784455642","0.289","-0.105","0.106","0.069"
"result.1476","0.0311271574424222","0.148430867876974","0.198","-0.071","0.106","0.068"
"result.1477","0.135586315182044","0.46003266720195","0.117","-0.007","0.106","0.068"
"result.1478","0.0844583891785503","0.189333847262934","0.145","-0.06","0.105","0.069"
"result.1479","0.48900934517284","0.569213407265721","0.003","0.012","0.106","0.069"
"result.1480","0.000522435835603584","0.0102438422626696","0.347","-0.158","0.106","0.069"
"result.1481","0.000525699456276101","0.00848617619875636","0.348","-0.163","0.106","0.068"
"result.1482","0.286884826402389","0.492937768436093","0.06","-0.001","0.105","0.069"
"result.1483","0.00113666758735993","0.00394506658341898","0.321","-0.184","0.105","0.07"
"result.1484","0.0930360567043547","0.627806215583837","0.141","0.022","0.106","0.068"
"result.1485","0.0906839478818822","0.342507813990319","0.141","-0.028","0.105","0.069"
"result.1486","0.051379787515689","0.11024763627845","0.173","-0.083","0.106","0.068"
"result.1487","0.00272198621029811","0.156194286542634","0.296","-0.068","0.107","0.068"
"result.1488","0.00132447466153008","0.00653762725621154","0.316","-0.172","0.105","0.07"
"result.1489","0.0194315781114265","0.0909362790158778","0.218","-0.092","0.106","0.069"
"result.1490","0.00491308373228558","0.00752509420366343","0.274","-0.167","0.106","0.069"
"result.1491","0.106499418005637","0.396336806804728","0.133","-0.018","0.106","0.068"
"result.1492","0.0116565555002623","0.215832112870868","0.241","-0.053","0.106","0.068"
"result.1493","0.111656696136185","0.390788700237047","0.13","-0.019","0.106","0.068"
"result.1494","0.000205057757916566","0.00445715342925723","0.374","-0.179","0.106","0.069"
"result.1495","0.0202830224907685","0.130186314507337","0.217","-0.077","0.106","0.068"
"result.1496","3.59934658686757e-06","0.0429022833665808","0.443","-0.119","0.106","0.069"
"result.1497","0.117538694352162","0.368835019644081","0.127","-0.022","0.107","0.067"
"result.1498","0.0287839053362487","0.383817368358666","0.201","-0.02","0.106","0.069"
"result.1499","0.577662066025182","0.93634089968027","-0.021","0.105","0.106","0.068"
"result.1500","0.0263423063743093","0.464369065693475","0.205","-0.006","0.106","0.069"
"result.1501","0.0250345427686354","0.104926406478897","0.208","-0.086","0.106","0.069"
"result.1502","0.000595426005350824","0.00422384511789398","0.342","-0.181","0.106","0.069"
"result.1503","0.0273650150804371","0.0784285221709214","0.205","-0.095","0.106","0.067"
"result.1504","0.0143864723710967","0.0490598413832182","0.231","-0.113","0.106","0.069"
"result.1505","0.0759120273830697","0.448413971195072","0.152","-0.009","0.106","0.068"
"result.1506","0.159215655216108","0.403867244005659","0.106","-0.016","0.106","0.068"
"result.1507","0.00982163272349251","0.143663119456926","0.248","-0.073","0.106","0.068"
