"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.968","0.0983123294553137","0.238877610495257","0.137","-0.049","0.106","0.069"
"result.969","0.00100167711736976","0.00245481361800426","0.329","-0.192","0.107","0.068"
"result.970","0.113256063000456","0.035420223946652","0.128","-0.123","0.106","0.068"
"result.971","0.000653234950343553","0.0123997581818658","0.342","-0.155","0.107","0.069"
"result.972","0.01656531683981","0.0158496606844406","0.227","-0.147","0.106","0.069"
"result.973","0.000750377720252301","3.68922975243491e-05","0.335","-0.273","0.106","0.07"
"result.974","0.0209438696088583","0.0300546153804621","0.215","-0.13","0.106","0.069"
"result.975","0.00266001490445404","0.00367726531438561","0.295","-0.185","0.106","0.069"
"result.976","0.00664251145204928","0.00771674938225475","0.263","-0.164","0.107","0.068"
"result.977","0.0224485952323656","0.00945069876794802","0.212","-0.161","0.106","0.069"
"result.978","0.0757774656676348","0.00634923437793078","0.151","-0.171","0.105","0.069"
"result.979","0.0350342296979717","0.0641462557805185","0.192","-0.104","0.106","0.069"
"result.980","0.517332601914557","0.402138790532402","-0.004","-0.017","0.106","0.069"
"result.981","0.00721250977692808","0.000312362295976643","0.259","-0.237","0.106","0.07"
"result.982","0.515673658411764","0.251604708848184","-0.004","-0.046","0.106","0.069"
"result.983","0.00939951079219213","0.0245278961472033","0.248","-0.135","0.106","0.069"
"result.984","0.134237723685485","0.0514393518447583","0.117","-0.113","0.106","0.069"
"result.985","0.0164814152326219","0.0133131587821846","0.225","-0.153","0.106","0.069"
"result.986","0.00800128942448616","0.00873823884932967","0.253","-0.167","0.105","0.07"
"result.987","0.0209492694790161","0.00271376664800804","0.214","-0.194","0.105","0.07"
"result.988","0.0291958095160615","0.00542961980677092","0.201","-0.173","0.106","0.068"
"result.989","0.0157209739573423","0.00619552170014048","0.228","-0.172","0.106","0.069"
"result.990","0.00762091544045281","0.00052330793632116","0.26","-0.221","0.107","0.068"
"result.991","1.25350373997664e-05","0.000707230202726783","0.431","-0.221","0.106","0.069"
"result.992","0.00849028524163946","0.0143570824964532","0.255","-0.148","0.107","0.068"
"result.993","0.103449355907122","0.0570008458493305","0.133","-0.11","0.105","0.07"
"result.994","0.000531188456125863","0.000530948702306522","0.348","-0.224","0.107","0.069"
"result.995","0.00788826435735614","0.00551411708339111","0.253","-0.177","0.105","0.07"
"result.996","0.0538023672113812","0.0278245120961901","0.17","-0.131","0.106","0.068"
"result.997","0.0373592212094144","0.040853107772318","0.189","-0.12","0.106","0.069"
"result.998","0.0407023596533008","0.00598972370894124","0.184","-0.173","0.106","0.069"
"result.999","0.0136692446056336","0.00683790737446188","0.233","-0.17","0.106","0.069"
"result.1000","0.173764963684125","0.0938945321523764","0.1","-0.09","0.106","0.069"
"result.1001","0.258354984727162","0.0918077978221942","0.069","-0.09","0.107","0.068"
"result.1002","0.00227586703469641","0.000771602988722475","0.3","-0.219","0.106","0.069"
"result.1003","0.211019327899167","0.190531956216944","0.085","-0.06","0.106","0.069"
"result.1004","0.0054240869244598","0.0276047313971773","0.268","-0.133","0.106","0.07"
"result.1005","0.016891459763045","0.0026666722518085","0.224","-0.194","0.105","0.07"
"result.1006","0.00133090187569627","0.0003750401032655","0.322","-0.228","0.107","0.068"
"result.1007","0.0009338304496002","0.000526416933697593","0.332","-0.221","0.107","0.068"
"result.1008","0.0643210616525918","0.00184708616591966","0.161","-0.2","0.106","0.069"
"result.1009","0.0224516198013888","0.00711955986124502","0.214","-0.167","0.107","0.068"
"result.1010","0.00628397734181695","0.000520079419377928","0.266","-0.221","0.107","0.068"
"result.1011","0.0511635045024794","0.0506740426855041","0.174","-0.113","0.107","0.069"
"result.1012","0.122612079090362","0.0337772752187404","0.123","-0.126","0.105","0.069"
"result.1013","0.256176695356963","0.159336862996187","0.07","-0.068","0.106","0.068"
"result.1014","0.0199878173239325","0.0956426799934872","0.217","-0.09","0.106","0.069"
"result.1015","0.028652763225613","0.00427823568778429","0.201","-0.181","0.106","0.069"
"result.1016","0.0142595985354286","0.00112842731341278","0.233","-0.209","0.106","0.069"
"result.1017","0.169006713838549","0.134094756026728","0.101","-0.077","0.105","0.069"
"result.1018","0.000975372015400291","0.00179912273728056","0.328","-0.2","0.106","0.069"
"result.1019","1.8612727821489e-07","2.80537329468977e-05","0.5","-0.275","0.106","0.07"
"result.1020","0.0226893697170739","0.00873087707451037","0.21","-0.165","0.105","0.07"
"result.1021","0.100503320207128","0.381287770239014","0.136","-0.021","0.106","0.069"
"result.1022","6.0512067758488e-05","6.63734043460096e-06","0.401","-0.287","0.106","0.07"
"result.1023","0.0231906120714633","0.0299099088890692","0.212","-0.128","0.106","0.068"
"result.1024","0.460948048232066","0.075106981752174","0.011","-0.099","0.106","0.069"
"result.1025","0.00143284461923643","0.00177163843724404","0.316","-0.202","0.106","0.069"
"result.1026","0.125647432401932","0.0920008461751683","0.121","-0.092","0.106","0.069"
"result.1027","0.000500228261873497","5.39715220118087e-05","0.35","-0.263","0.107","0.069"
"result.1028","0.175106180450595","0.230276658335512","0.098","-0.051","0.105","0.069"
"result.1029","0.313189658601556","0.1585080587495","0.052","-0.069","0.106","0.069"
"result.1030","0.0184492180306407","0.0131104831305868","0.221","-0.152","0.106","0.068"
"result.1031","0.0180540205441142","0.0307271370407158","0.224","-0.126","0.107","0.068"
"result.1032","0.00950640264370822","0.0231995211625058","0.247","-0.139","0.106","0.07"
"result.1033","0.0811496601725102","0.370592630633048","0.149","-0.022","0.106","0.068"
"result.1034","0.0720855071412685","0.0308010016857606","0.154","-0.13","0.105","0.07"
"result.1035","0.0516806752748109","0.060917143835347","0.173","-0.106","0.106","0.069"
"result.1036","0.000585127211751205","3.07980947384934e-05","0.35","-0.263","0.108","0.067"
"result.1037","0.0146156712131337","0.0501339529389362","0.23","-0.115","0.105","0.07"
"result.1038","0.0180199141306672","0.0122448215367555","0.223","-0.155","0.106","0.069"
"result.1039","0.018779894307103","0.0389946811851309","0.219","-0.122","0.105","0.069"
"result.1040","0.00912673274104859","0.00118072663271751","0.25","-0.21","0.106","0.069"
"result.1041","0.060179171618685","0.137889109691565","0.165","-0.075","0.106","0.069"
"result.1042","0.19985201887749","0.0394766426739086","0.089","-0.123","0.105","0.07"
"result.1043","0.100355592953605","0.0568356982292368","0.137","-0.106","0.107","0.067"
"result.1044","0.134519609790306","0.227460128087988","0.118","-0.051","0.106","0.068"
"result.1045","0.000169775407848881","0.000698287155622035","0.383","-0.213","0.108","0.067"
"result.1046","0.00116514574604146","0.000545199631532434","0.323","-0.225","0.106","0.069"
"result.1047","0.326046900886559","0.429590561257041","0.048","-0.012","0.105","0.07"
"result.1048","0.320338612634089","0.11079470964126","0.05","-0.085","0.106","0.07"
"result.1049","0.0250690081735711","0.0704421175270638","0.206","-0.103","0.105","0.07"
"result.1050","0.00757593437230433","0.00682162662440944","0.257","-0.169","0.106","0.069"
"result.1051","0.128210984884077","0.117369984252635","0.121","-0.081","0.106","0.068"
"result.1052","0.00460249212437693","0.00743880068409331","0.275","-0.167","0.106","0.069"
"result.1053","0.00221206008561763","0.00348233612690996","0.302","-0.185","0.106","0.069"
"result.1054","0.195993371256399","0.304688219367612","0.091","-0.035","0.106","0.069"
"result.1055","0.445321874976865","0.38689635024468","0.015","-0.02","0.106","0.069"
"result.1056","0.0260547345867386","0.0504530184633104","0.205","-0.113","0.106","0.069"
"result.1057","0.0198909391348109","0.127479459152252","0.219","-0.078","0.107","0.068"
"result.1058","0.173903506691659","0.05811371465382","0.1","-0.107","0.106","0.068"
"result.1059","0.000878135727913518","0.00116177869806611","0.333","-0.21","0.106","0.069"
"result.1060","0.00607918292196457","0.00118983385224081","0.264","-0.213","0.105","0.071"
"result.1061","0.0246256819885711","0.0556814654016253","0.208","-0.11","0.106","0.069"
"result.1062","0.0465166622053166","0.0403609267878693","0.176","-0.124","0.105","0.071"
"result.1063","0.030265978381721","0.0116236152273396","0.199","-0.154","0.106","0.068"
"result.1064","0.00235579995865768","0.00300736746046693","0.299","-0.191","0.106","0.07"
"result.1065","0.000188832035625719","0.000289851335770752","0.372","-0.241","0.105","0.071"
"result.1066","0.190434930123693","0.039289019566544","0.093","-0.122","0.105","0.07"
"result.1067","0.0174367754806864","0.00980081739159466","0.224","-0.159","0.106","0.068"
"result.1068","0.105543903166686","0.013481783799283","0.134","-0.15","0.107","0.068"
"result.1069","5.33060026645077e-07","0.00020387299502056","0.456","-0.24","0.108","0.068"
"result.1070","0.0053021871116209","0.0175347905801284","0.269","-0.146","0.105","0.069"
"result.1071","0.0497724889677598","0.165893661385092","0.174","-0.067","0.106","0.069"
"result.1072","0.0205471423481569","0.0457930375056959","0.216","-0.117","0.106","0.069"
"result.1073","0.413552508083521","0.188839402514361","0.023","-0.061","0.106","0.069"
"result.1074","0.000168349086634904","0.000384870055458064","0.374","-0.238","0.105","0.071"
"result.1075","0.000681640168163205","0.000933136094785181","0.339","-0.215","0.106","0.069"
"result.1076","0.113096479700306","0.00400114149317055","0.129","-0.181","0.107","0.068"
"result.1077","0.00265849751765217","0.00199933013781095","0.297","-0.197","0.107","0.069"
"result.1078","0.118250614122961","0.0818531529282296","0.127","-0.093","0.107","0.067"
"result.1079","1.86069652712518e-07","1.44661220345954e-05","0.469","-0.283","0.106","0.07"
"result.1080","0.001188414284137","0.00353540744279957","0.32","-0.188","0.106","0.07"
"result.1081","0.00870416558511536","0.00441340486931552","0.251","-0.182","0.106","0.07"
"result.1082","0.00784733148199942","0.0032317566118153","0.257","-0.184","0.107","0.068"
"result.1083","0.0101030913980876","0.037178588057702","0.245","-0.123","0.106","0.069"
"result.1084","0.0662790102586989","0.00980448758383534","0.16","-0.158","0.107","0.068"
"result.1085","0.0162625591880767","0.00967949893402853","0.227","-0.159","0.106","0.068"
"result.1086","0.00636021866290149","0.000922593261138638","0.264","-0.213","0.106","0.069"
"result.1087","0.00232739271634366","0.0141027664577622","0.3","-0.152","0.106","0.07"
"result.1088","0.00192700042526913","0.00375972917676537","0.306","-0.184","0.106","0.069"
"result.1089","0.0221780778191248","0.00107100031297691","0.214","-0.21","0.106","0.068"
"result.1090","0.0610632403555042","0.0104929785498774","0.164","-0.16","0.106","0.07"
"result.1091","0.0070854005499462","0.00132229435924169","0.259","-0.206","0.106","0.069"
