"","V1","V2","V3","V4"
"result.1","No","0.000574545340099486","-2.25130867953484","0.606888847109905"
"result.2","No","0.00313354409556665","-1.96094279931207","0.61332567426174"
"result.3","No","0.410991316994018","-0.784617491205497","0.584594072192029"
"result.4","No","0.252208118989218","-0.855811289683314","0.58779603077045"
"result.5","No","0.255555503194474","-0.936051807987074","0.579290291298444"
"result.6","No","0.000786767205524175","-1.46278962407142","0.601376450090698"
"result.7","No","0.138063043663238","-1.17275547193553","0.604580043261114"
"result.8","No","0.195688121123027","-0.896611015726794","0.577494580106541"
"result.9","No","0.358046752239063","-0.570861661902427","0.544809064525753"
"result.10","No","0.11320906087011","-0.522141853394588","0.566464554890979"
"result.11","No","0.0453809862756502","-1.03982821453987","0.596897244686246"
"result.12","No","4.53659364315628e-05","-2.58851939116944","0.554959045864178"
"result.13","No","0.0644197764036512","-1.15492262252207","0.580933105676017"
"result.14","No","0.000677825237352714","-1.92754080844499","0.603084308524981"
"result.15","No","0.184402594016013","-0.924292503374479","0.582184469669048"
"result.16","No","0.157793398150413","-1.05598652042296","0.607921588939347"
"result.17","No","0.0565419465521844","-0.884939505563455","0.60489046490952"
"result.18","No","0.431223579564649","-0.696378743887797","0.596548989389562"
"result.19","No","0.463734650025218","-0.695196725374352","0.590912488731485"
"result.20","No","0.0187698760509868","-1.51252080939496","0.594896572353531"
"result.21","No","0.0102905163013501","-1.75663888125701","0.594832524066948"
"result.22","No","0.00425154727300525","-1.89050359840285","0.580870174345826"
"result.23","No","0.149244781480219","-1.00355252085589","0.582685448954384"
"result.24","No","0.33429091622318","-0.878957951500903","0.567865815688106"
"result.25","No","0.000117384590876957","-2.48772370489503","0.547080715130108"
"result.26","No","8.32271704973575e-05","-2.40631531332213","0.603985742555095"
"result.27","No","0.0538999814809025","-1.33895616944897","0.574416307050878"
"result.28","No","0.01424999885261","-1.57697252246925","0.579502999476151"
"result.29","No","0.223482472541178","-1.01372939992942","0.59533237996985"
"result.30","No","0.0178231847117465","-1.01391842570981","0.590645806863796"
"result.31","No","0.0058771808149074","-1.78029812642001","0.574475139999485"
"result.32","No","0.000110126444117342","-2.50477832779436","0.58724650809556"
"result.33","No","0.101839541467433","-1.12413163534896","0.577791528778356"
"result.34","No","0.0848506701224709","-1.33519845945554","0.562773014923554"
"result.35","No","1.58173331099576e-07","-3.17903502683128","0.578083410023331"
"result.36","No","0.0053726116995968","-1.88592126571182","0.583461680201697"
"result.37","No","0.0101747442232712","-1.45985935189846","0.587887407338374"
"result.38","No","0.0286930329043816","-1.34364088947843","0.605240150846736"
"result.39","No","0.000563192281553992","-2.31534928588952","0.587834978877014"
"result.40","No","0.619106174568605","-0.114594011678237","0.578160314313931"
"result.41","No","0.0150786982996054","-1.45965482721484","0.576602889055712"
"result.42","No","1.97782297337579e-05","-2.69750998827544","0.584164724281661"
"result.43","No","0.0120173341247315","-1.714248116563","0.56780537154886"
"result.44","No","0.433992684999096","-0.501914316637337","0.569977710725342"
"result.45","No","0.627038991793066","-0.559703970608608","0.583703142636459"
"result.46","No","0.0300808654997351","-1.5613311266221","0.586176180132539"
"result.47","No","0.00773779897544458","-1.8230998478396","0.577809773903505"
"result.48","No","0.000827653710034792","-2.13948684365123","0.58615324569937"
"result.49","No","0.0393203607139497","-1.38487248389049","0.600588281134896"
"result.50","No","0.089448008643362","-1.2018705189691","0.57856521687358"
"result.51","No","0.00818930897679204","-1.66898627323602","0.573114550299611"
"result.52","No","0.00916818696057864","-1.411453866262","0.591076078997684"
"result.53","No","0.0110107623744043","-1.74586902811728","0.591751537671205"
"result.54","No","0.00467386913877266","-1.80201068650323","0.607234557158054"
"result.55","No","0.390636260867182","-0.538073179923759","0.59843023406693"
"result.56","No","0.0406927337850775","-1.44105281459072","0.589427983412856"
"result.57","No","0.0065917230638296","-1.81276116231484","0.615580678465565"
"result.58","No","0.113700160831209","-1.15589625320172","0.597641549617425"
"result.59","No","0.251200964995478","-0.961777224812165","0.600660336471641"
"result.60","No","0.16838172054892","-0.183342194196277","0.561579106520762"
"result.61","No","0.00390541813655654","-1.90968492260807","0.609388868447778"
"result.62","No","0.0832623560714378","-1.20483832312947","0.582106366476028"
"result.63","No","0.603987079107605","-0.531960455192149","0.570370261413876"
"result.64","No","0.119272342698547","-1.09347231020089","0.585890910151981"
"result.65","No","0.00197280996666105","-1.9192021829488","0.558890194070448"
"result.66","No","0.245174301162578","-0.927863059973251","0.59644963506045"
"result.67","No","0.0100858859222098","-1.65819721554907","0.553003782082508"
"result.68","No","0.00965887207221361","-1.59054001063595","0.569076072800534"
"result.69","No","0.109543480150313","-1.21720583295934","0.567587692436598"
"result.70","No","0.00501698020184016","-1.92773145588493","0.588804710274627"
"result.71","No","0.00638471036455046","-1.27469937015276","0.566781068977024"
