"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.216",0.276434166473997,0.98511633721338,0.051,2.463,0.071,0.085,0.082,0.102
"result.217",0.258845024176287,0.988230586771689,0.054,2.43,0.073,0.084,0.08,0.101
"result.218",0.430386372302718,0.991461558922112,0.015,2.402,0.118,0.085,0.085,0.101
"result.219",0.0786504236653211,0.975159081088433,0.119,2.477,-0.009,0.084,0.084,0.101
"result.220",0.208640246791769,0.969136700479431,0.07,2.528,0.034,0.086,0.08,0.102
"result.221",0.467265558083677,0.98354440649231,0.007,2.465,0.112,0.086,0.084,0.103
"result.222",0.192980505332661,0.997288789826601,0.073,2.43,0.083,0.084,0.079,0.101
"result.223",0.0300004199171475,0.968016344394109,0.159,2.458,-0.055,0.084,0.089,0.101
"result.224",0.983563616108681,0.998792535027849,-0.181,2.334,0.35,0.085,0.083,0.102
"result.225",0.068036857890233,0.994610192856334,0.127,2.49,0.017,0.085,0.08,0.102
"result.226",0.529219057777866,0.998125960782677,-0.006,2.386,0.169,0.084,0.082,0.101
"result.227",0.272477329134063,0.961109162322066,0.051,2.441,0.048,0.084,0.086,0.101
"result.228",0.62814311267988,0.979219581542718,-0.028,2.419,0.142,0.085,0.08,0.102
"result.229",0.657517111148998,0.999984514409094,-0.034,2.343,0.262,0.084,0.079,0.101
"result.230",0.176950842914902,0.999470138151823,0.078,2.395,0.106,0.084,0.084,0.101
"result.231",0.973088861464514,0.989267229448038,-0.162,2.22,0.292,0.084,0.087,0.101
"result.232",0.470211346321543,0.999978750615233,0.007,2.31,0.221,0.086,0.096,0.103
"result.233",0.490712726208294,0.983977415055509,0.002,2.434,0.119,0.086,0.086,0.103
"result.234",0.119985812078082,0.973962541102464,0.102,2.47,0.007,0.087,0.092,0.103
"result.235",0.211226204711336,0.950224351420908,0.07,2.514,0.021,0.088,0.09,0.104
"result.236",0.840748784485061,0.999268549877359,-0.084,2.309,0.264,0.084,0.082,0.102
"result.237",0.474446547870687,0.92841578935742,0.006,2.392,0.077,0.083,0.082,0.101
"result.238",0.754809403045924,0.989567773842168,-0.058,2.411,0.187,0.084,0.085,0.101
"result.239",0.804012206734598,0.997523235549685,-0.073,2.375,0.231,0.085,0.083,0.102
"result.240",0.394859854842235,0.99995717457537,0.023,2.392,0.196,0.085,0.082,0.102
"result.241",0.104638049937623,0.928693399704521,0.108,2.55,-0.026,0.086,0.081,0.102
"result.242",0.59055577063007,0.70112918737821,-0.019,2.4,0.049,0.084,0.084,0.101
"result.243",0.622230464984122,0.999461675787819,-0.026,2.276,0.209,0.084,0.086,0.101
"result.244",0.519587412274308,0.991284724285838,-0.004,2.484,0.137,0.086,0.081,0.102
"result.245",0.234248919417533,0.970690806524603,0.061,2.378,0.045,0.084,0.09,0.101
"result.246",0.0870216183250098,0.966111329305784,0.117,2.532,-0.015,0.086,0.08,0.102
"result.247",0.193398787872184,0.997524945115853,0.074,2.468,0.084,0.085,0.079,0.102
"result.248",0.475679099440217,0.999605196161807,0.006,2.514,0.182,0.089,0.083,0.105
"result.249",0.456890318912254,0.966153850560013,0.009,2.539,0.092,0.086,0.079,0.102
"result.250",0.859310778113565,0.999829901073034,-0.092,2.388,0.292,0.085,0.079,0.102
"result.251",0.314449198096038,0.914002048545096,0.041,2.469,0.035,0.085,0.086,0.102
"result.252",0.919131145694403,0.999910237074834,-0.117,2.25,0.327,0.084,0.084,0.101
"result.253",0.898778365305394,0.997901236889125,-0.105,2.233,0.267,0.083,0.088,0.1
"result.254",0.249287757061556,0.918230826960604,0.06,2.642,0.017,0.089,0.082,0.105
"result.255",0.716769577633972,0.998639752518939,-0.049,2.283,0.217,0.085,0.088,0.102
"result.256",0.69457131292902,0.961691112251491,-0.042,2.335,0.142,0.084,0.083,0.101
"result.257",0.147643086868776,0.973267127064474,0.087,2.339,0.022,0.083,0.084,0.1
"result.258",0.979918073673047,0.993561555141361,-0.178,2.404,0.318,0.087,0.078,0.104
"result.259",0.903332533482505,0.999993386304077,-0.11,2.184,0.347,0.085,0.09,0.102
"result.260",0.545139561665961,0.993719726003693,-0.01,2.287,0.15,0.086,0.089,0.103
"result.261",0.744067948351737,0.999659905312658,-0.058,2.55,0.246,0.088,0.082,0.104
"result.262",0.592760533639562,0.997212744130778,-0.019,2.153,0.177,0.083,0.084,0.101
"result.263",0.375465183888224,0.994477666057347,0.027,2.461,0.114,0.086,0.089,0.102
"result.264",0.449942869684801,0.998417767813633,0.011,2.369,0.156,0.085,0.091,0.102
"result.265",0.978096896436611,0.997075378865595,-0.171,2.31,0.326,0.085,0.08,0.102
"result.266",0.502445900358878,0.9738416171264,0,2.302,0.11,0.084,0.091,0.101
"result.267",0.488003555131537,0.961585091833188,0.003,2.347,0.097,0.085,0.087,0.102
"result.268",0.265944870312568,0.923414972640262,0.053,2.421,0.028,0.084,0.088,0.101
"result.269",0.231626859758165,0.97098847699945,0.063,2.437,0.043,0.085,0.087,0.102
"result.270",0.149794021207517,0.987787042337605,0.09,2.528,0.034,0.087,0.088,0.103
"result.271",0.0197533160102461,0.997584897137669,0.176,2.514,-0.018,0.085,0.08,0.102
"result.272",0.854347304422229,0.996190177359207,-0.087,2.177,0.238,0.082,0.087,0.1
"result.273",0.25617974215847,0.987864775271054,0.054,2.336,0.072,0.083,0.085,0.1
"result.274",0.850132448274458,0.998019165182044,-0.091,2.468,0.251,0.088,0.086,0.104
"result.275",0.871551486683988,0.999781440823311,-0.094,2.301,0.291,0.083,0.079,0.1
"result.276",0.0733718392092194,0.970878491950205,0.123,2.352,-0.016,0.084,0.09,0.101
"result.277",0.315909949369096,0.956129475555762,0.041,2.431,0.055,0.085,0.084,0.101
"result.278",0.442443899765211,0.994818371514325,0.013,2.441,0.132,0.085,0.08,0.102
"result.279",0.463562246046557,0.963840569281668,0.008,2.412,0.094,0.084,0.083,0.101
"result.280",0.657490213325611,0.994420590829341,-0.035,2.379,0.177,0.086,0.088,0.102
"result.281",0.0828126137946006,0.995920520974362,0.122,2.544,0.026,0.088,0.09,0.104
"result.282",0.882382573307338,0.97057977053352,-0.101,2.328,0.209,0.085,0.091,0.103
"result.283",0.373148639849975,0.990272106163553,0.028,2.372,0.104,0.085,0.088,0.102
"result.284",0.383941611428805,0.980077497956784,0.025,2.33,0.091,0.084,0.091,0.101
"result.285",0.285428477764093,0.994348408428585,0.047,2.395,0.095,0.083,0.079,0.101
"result.286",0.97460467964257,0.997706344064179,-0.169,2.302,0.328,0.086,0.087,0.103
"result.287",0.794528865504887,0.999934563957746,-0.071,2.374,0.284,0.086,0.086,0.103
"result.288",0.915084683186775,0.992419029240895,-0.118,2.407,0.254,0.086,0.079,0.103
"result.289",0.115091055796129,0.989946930356023,0.104,2.594,0.025,0.087,0.079,0.103
"result.290",0.467260964850761,0.848318118559183,0.008,2.542,0.05,0.09,0.094,0.106
"result.291",0.347099309380468,0.995773427669913,0.034,2.505,0.112,0.087,0.086,0.103
"result.292",0.722814953230227,0.995705264889841,-0.05,2.473,0.196,0.085,0.084,0.102
"result.293",0.959052575852494,0.997806179527773,-0.149,2.337,0.308,0.086,0.087,0.102
"result.294",0.9434164769182,0.999871805357843,-0.135,2.329,0.338,0.085,0.084,0.102
"result.295",0.602131883039346,0.981396679995385,-0.022,2.448,0.139,0.086,0.08,0.102
"result.296",0.74855196164074,0.994567946847938,-0.056,2.369,0.199,0.083,0.078,0.101
"result.297",0.830744254785117,0.98456708051819,-0.082,2.315,0.205,0.086,0.091,0.103
"result.298",0.273440529397562,0.995700891257314,0.05,2.417,0.097,0.083,0.078,0.101
"result.299",0.527212635101602,0.90883990424246,-0.006,2.53,0.081,0.088,0.087,0.104
"result.300",0.3377715971546,0.938121746678679,0.037,2.521,0.049,0.087,0.086,0.104
"result.301",0.102251248203791,0.897953187464763,0.113,2.672,-0.042,0.089,0.084,0.105
"result.302",0.51198346195005,0.999320166504841,-0.002,2.309,0.183,0.086,0.093,0.103
"result.303",0.629841810224137,0.998920582345289,-0.028,2.461,0.199,0.085,0.08,0.102
"result.304",0.721249487737784,0.99428827505824,-0.051,2.437,0.193,0.088,0.091,0.104
