"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1971",0.87462031989677,0.882531660025958,-0.104,2.504,0.171,0.091,0.084,0.107
"result.1972",0.999381481273157,0.0236607315781916,-0.289,2.44,0.176,0.09,0.079,0.106
"result.1973",0.94894162726147,0.0475122045781181,-0.141,2.305,0.045,0.086,0.089,0.104
"result.1974",0.952003525593007,0.0979417095010577,-0.146,2.485,0.073,0.088,0.084,0.104
"result.1975",0.981382284413751,0.0634812924011959,-0.182,2.433,0.095,0.087,0.082,0.104
"result.1976",0.949887094074852,0.0259526849632499,-0.144,2.438,0.033,0.088,0.078,0.105
"result.1977",0.999988195814585,0.0314143055743983,-0.357,2.297,0.252,0.087,0.086,0.104
"result.1978",0.993023037566486,0.131727788805014,-0.216,2.4,0.152,0.088,0.082,0.105
"result.1979",0.98804788122998,0.0123550095453036,-0.207,2.587,0.081,0.092,0.084,0.108
"result.1980",0.712225883381193,0.0476739367046645,-0.049,2.537,-0.045,0.088,0.087,0.104
"result.1981",0.751375089529653,0.0295090920367507,-0.061,2.619,-0.045,0.09,0.081,0.106
"result.1982",0.958119720457503,0.133173264245611,-0.154,2.338,0.091,0.089,0.089,0.105
"result.1983",0.99923378420675,0.0535025162056796,-0.283,2.346,0.192,0.09,0.089,0.106
"result.1984",0.377984337067296,0.0737497593177793,0.028,2.497,-0.11,0.089,0.094,0.106
"result.1985",0.98922681944816,0.0183396844933436,-0.2,2.386,0.08,0.087,0.082,0.104
"result.1986",0.999672796255672,0.0779590647164854,-0.305,2.3,0.224,0.09,0.089,0.106
"result.1987",0.981087906185341,0.0628442630484027,-0.182,2.482,0.096,0.088,0.079,0.104
"result.1988",0.866944441910966,0.00488196289033349,-0.099,2.484,-0.048,0.089,0.089,0.106
"result.1989",0.951824752612447,0.112279283205094,-0.145,2.427,0.076,0.087,0.077,0.104
"result.1990",0.920681509894647,0.0607306347103511,-0.124,2.481,0.037,0.088,0.083,0.105
"result.1991",0.998172098945509,0.0279493546984919,-0.268,2.456,0.159,0.092,0.089,0.108
"result.1992",0.790508589984046,0.019926426276305,-0.074,2.526,-0.042,0.092,0.092,0.107
"result.1993",0.896883150642763,0.04296124050259,-0.109,2.423,0.011,0.087,0.079,0.104
"result.1994",0.998951047778502,0.0416550867425558,-0.273,2.365,0.174,0.089,0.087,0.105
"result.1995",0.994876782408925,0.511174101549627,-0.222,2.182,0.223,0.087,0.091,0.104
"result.1996",0.999636035457808,0.003934052134689,-0.302,2.316,0.149,0.09,0.089,0.106
"result.1997",0.991960888097732,0.0718741671909867,-0.213,2.299,0.129,0.089,0.089,0.106
"result.1998",0.377152901430206,0.369775260173872,0.027,2.444,-0.046,0.087,0.089,0.104
"result.1999",0.924503421200241,0.000202423415976316,-0.127,2.585,-0.072,0.089,0.08,0.105
"result.2000",0.991224219523602,0.327732441274928,-0.217,2.482,0.192,0.092,0.082,0.108
