"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1699",0.0426587668318371,0.999917828176849,0.141,2.091,0.076,0.082,0.086,0.1
"result.1700",0.0244481736236152,0.999999811443045,0.16,2.133,0.097,0.081,0.087,0.099
"result.1701",0.00125771205854621,0.999945776733576,0.258,2.294,-0.038,0.085,0.091,0.103
"result.1702",0.178525162381004,0.999901752463781,0.075,2.112,0.139,0.081,0.088,0.1
"result.1703",0.00210597754574658,0.993801566029785,0.237,2.266,-0.094,0.083,0.088,0.101
"result.1704",0.0438843737865901,0.999949855462467,0.14,2.304,0.079,0.082,0.089,0.1
"result.1705",0.558281050329208,0.999985247918971,-0.012,2.165,0.245,0.083,0.089,0.101
"result.1706",0.0928046495622084,0.999999811443254,0.107,1.931,0.183,0.08,0.084,0.099
"result.1707",0.18082384616684,0.999999811443192,0.074,1.95,0.2,0.081,0.084,0.1
"result.1708",0.150126119480938,0.999999811443401,0.087,2.133,0.183,0.083,0.089,0.101
"result.1709",0.0521802549248321,0.999999811443026,0.136,2.225,0.111,0.084,0.088,0.101
"result.1710",0.0150673103176583,0.999988449748005,0.183,2.348,0.049,0.085,0.092,0.102
"result.1711",0.165778289238434,0.999999811443265,0.08,2.044,0.18,0.082,0.086,0.101
"result.1712",0.0175948846849763,0.998570077728621,0.173,2.364,-0.004,0.082,0.09,0.1
"result.1713",0.00052543278015841,0.999705071036367,0.268,2.198,-0.071,0.082,0.088,0.1
"result.1714",0.446971080410093,0.999999811443014,0.011,2.149,0.233,0.083,0.086,0.101
"result.1715",0.450478774751052,0.99070314997344,0.01,2.128,0.125,0.081,0.086,0.099
"result.1716",0.0880010628945641,0.999955484601545,0.11,2.034,0.116,0.081,0.084,0.1
"result.1717",0.00222280695268676,0.959283828048088,0.239,2.287,-0.14,0.084,0.089,0.102
"result.1718",0.248972783100552,0.999999811443255,0.056,1.978,0.227,0.082,0.085,0.1
"result.1719",0.28479961846692,0.99998650939109,0.048,2.166,0.185,0.084,0.087,0.101
"result.1720",0.302246742619966,0.999994615592189,0.043,2.148,0.196,0.083,0.088,0.101
"result.1721",0.00470804222008885,0.956658691971584,0.216,2.239,-0.118,0.083,0.088,0.101
"result.1722",0.00320826766366127,0.984832085680277,0.224,2.194,-0.099,0.082,0.089,0.101
"result.1723",0.0245901877810681,0.99999981144325,0.159,2.031,0.112,0.081,0.086,0.1
"result.1724",0.142073296356995,0.999745702442573,0.09,2.256,0.108,0.084,0.089,0.101
"result.1725",0.0164424704118341,0.999999811443083,0.173,2.109,0.075,0.081,0.085,0.099
"result.1726",0.00414473783579282,0.999982860861576,0.219,2.325,0.01,0.083,0.09,0.1
"result.1727",0.0437043751344272,0.999980990667696,0.143,2.228,0.087,0.083,0.087,0.101
"result.1728",0.861858829944566,0.999990955924641,-0.089,2.062,0.325,0.082,0.085,0.1
"result.1729",0.0271187558648295,0.999968199468046,0.16,2.129,0.067,0.083,0.088,0.101
"result.1730",0.312013184198849,0.999999811443187,0.041,2.212,0.21,0.084,0.087,0.101
"result.1731",0.0292651629614389,0.999999811443235,0.149,2.117,0.116,0.079,0.085,0.097
"result.1732",0.0389737946534573,0.999998711660203,0.15,2.238,0.091,0.085,0.09,0.102
"result.1733",0.000630666398622959,0.984827813932539,0.266,2.335,-0.143,0.082,0.088,0.1
"result.1734",0.00220518488778733,0.999964538835206,0.236,2.257,-0.013,0.083,0.089,0.101
"result.1735",0.00460619428583828,0.999963213883372,0.219,2.382,0.003,0.084,0.092,0.102
"result.1736",0.028124043022213,0.999328389638688,0.157,2.158,0.028,0.082,0.089,0.1
"result.1737",0.00426749656097268,0.999791882573367,0.224,2.341,-0.024,0.085,0.09,0.103
"result.1738",0.574167763167042,0.999965034795168,-0.016,2.314,0.239,0.085,0.089,0.102
"result.1739",0.261204572659338,0.99979896087621,0.052,1.962,0.154,0.081,0.085,0.1
"result.1740",0.00841230133381574,0.999708113229835,0.196,2.149,0.003,0.082,0.088,0.101
"result.1741",0.0191577999218034,0.99999981144305,0.167,2.096,0.128,0.081,0.087,0.099
