"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.997",0.999997141512278,0.816301369251579,-0.377,2.324,0.428,0.09,0.086,0.106
"result.998",0.999718928313291,0.303148447943309,-0.298,2.352,0.269,0.087,0.076,0.104
"result.999",0.932775366911193,0.603680991410976,-0.132,2.535,0.147,0.088,0.08,0.104
"result.1000",0.972962968747662,0.63754301846628,-0.169,2.482,0.189,0.088,0.085,0.104
"result.1001",0.987441984230424,0.049738278677843,-0.195,2.355,0.1,0.087,0.087,0.104
"result.1002",0.996910692170002,0.72679046681592,-0.235,2.336,0.269,0.086,0.078,0.103
"result.1003",0.931971639479115,0.56001734051866,-0.135,2.463,0.144,0.091,0.091,0.107
"result.1004",0.967106658754511,0.84186555250001,-0.163,2.456,0.22,0.089,0.08,0.105
"result.1005",0.979524446070055,0.708367747096971,-0.176,2.382,0.207,0.086,0.079,0.103
"result.1006",0.930460568038329,0.445324209948497,-0.132,2.555,0.125,0.09,0.083,0.106
"result.1007",0.999129360006623,0.287450291253287,-0.279,2.439,0.247,0.089,0.077,0.105
"result.1008",0.954933546627905,0.533574131134197,-0.15,2.31,0.154,0.088,0.089,0.105
"result.1009",0.999049212068015,0.630131715034106,-0.278,2.285,0.297,0.09,0.092,0.106
"result.1010",0.980105014034989,0.702787514499011,-0.178,2.323,0.209,0.087,0.084,0.104
"result.1011",0.99691899128519,0.339450037087896,-0.251,2.523,0.228,0.092,0.082,0.108
"result.1012",0.998376479553017,0.675433988724323,-0.263,2.445,0.289,0.089,0.081,0.106
"result.1013",0.978155114128157,0.335502095721095,-0.183,2.585,0.159,0.091,0.081,0.106
"result.1014",0.963947955401233,0.538370239636711,-0.159,2.321,0.165,0.089,0.091,0.105
"result.1015",0.910342131106854,0.461318334461957,-0.119,2.524,0.114,0.089,0.078,0.105
"result.1016",0.967599143159656,0.257655764936716,-0.167,2.554,0.131,0.091,0.085,0.106
"result.1017",0.837854169320134,0.453801853867725,-0.087,2.509,0.08,0.088,0.083,0.105
"result.1018",0.961402608552304,0.610655853463922,-0.154,2.319,0.17,0.087,0.092,0.104
"result.1019",0.982429188374664,0.831513955091222,-0.186,2.33,0.24,0.088,0.088,0.105
"result.1020",0.993145832242511,0.6122628878613,-0.218,2.339,0.234,0.088,0.086,0.105
"result.1021",0.999425182495875,0.308480463881161,-0.293,2.473,0.265,0.09,0.08,0.106
"result.1022",0.994141256241797,0.906024397422368,-0.224,2.359,0.299,0.089,0.089,0.106
