"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1626",0.0109082985124287,0.0218521586726224,0.19,2.428,-0.305,0.083,0.09,0.101
"result.1627",0.061433495298492,0.050434109862049,0.126,2.401,-0.22,0.082,0.081,0.1
"result.1628",0.544857766738869,0.055527658665973,-0.009,2.341,-0.082,0.083,0.082,0.101
"result.1629",0.0719178953258538,0.245670126683137,0.121,2.311,-0.16,0.083,0.088,0.1
"result.1630",3.63409859206129e-05,0.000259609915153614,0.326,2.41,-0.527,0.083,0.09,0.102
"result.1631",0.201276200968591,0.347034295072851,0.069,2.401,-0.092,0.083,0.077,0.1
"result.1632",0.0190861642030229,0.0597317139699106,0.169,2.362,-0.258,0.082,0.087,0.1
"result.1633",7.67107105668674e-06,0.0233079322651907,0.349,2.515,-0.463,0.084,0.093,0.102
"result.1634",0.0677871494617361,0.151901292935603,0.121,2.321,-0.18,0.081,0.085,0.099
"result.1635",0.0868523232870176,0.126495193056337,0.115,2.435,-0.18,0.084,0.086,0.102
"result.1636",0.0122164168218574,0.263091587883187,0.184,2.405,-0.22,0.082,0.088,0.1
"result.1637",0.23804227260481,0.236175019309198,0.059,2.354,-0.1,0.082,0.087,0.1
"result.1638",0.0925239347455331,0.134366398539207,0.11,2.46,-0.173,0.083,0.078,0.101
"result.1639",0.000900742933459911,6.67981184976352e-06,0.258,2.505,-0.496,0.082,0.088,0.101
"result.1640",0.00758276840094395,0.125163941957633,0.203,2.489,-0.268,0.083,0.08,0.101
"result.1641",0.00276183216076244,0.0714755254889837,0.239,2.474,-0.323,0.086,0.095,0.103
"result.1642",0.000744968002585611,0.0313954287749185,0.259,2.417,-0.366,0.082,0.085,0.1
"result.1643",0.000348575901647787,0.118746722688298,0.283,2.558,-0.35,0.084,0.08,0.101
"result.1644",0.153585537378663,0.0957696777231856,0.085,2.413,-0.16,0.083,0.083,0.101
"result.1645",0.00525975513858721,0.0515622857577283,0.209,2.341,-0.303,0.082,0.087,0.1
"result.1646",0.00299654675858303,0.0344863606621176,0.23,2.43,-0.334,0.084,0.089,0.101
"result.1647",0.00842836965454893,0.00402602679105679,0.197,2.418,-0.348,0.082,0.088,0.1
"result.1648",0.00174179868865692,0.00977763829438705,0.246,2.539,-0.379,0.084,0.086,0.102
"result.1649",0.17201384455463,0.00976219684354107,0.076,2.316,-0.21,0.08,0.084,0.099
"result.1650",0.150828031429041,0.315495906858947,0.083,2.245,-0.111,0.08,0.087,0.099
"result.1651",0.0553300863505183,0.0434818508668873,0.131,2.416,-0.229,0.082,0.08,0.1
"result.1652",0.0012088048526891,0.00135707358721771,0.249,2.476,-0.421,0.082,0.087,0.1
"result.1653",0.34720126421167,0.254182694416503,0.032,2.283,-0.069,0.08,0.076,0.098
"result.1654",0.000892959299855925,0.0209726431694607,0.258,2.437,-0.374,0.082,0.088,0.1
"result.1655",0.0439447792549694,0.0244667087455154,0.147,2.626,-0.258,0.086,0.081,0.103
"result.1656",0.525832424260249,0.0247282828474271,-0.005,2.314,-0.108,0.083,0.082,0.101
"result.1657",0.154511821792742,0.00128043164237612,0.089,2.626,-0.259,0.087,0.081,0.104
"result.1658",0.0417474496221477,0.0275490748225168,0.144,2.411,-0.253,0.083,0.087,0.101
"result.1659",0.00659599251716957,0.0105036040192171,0.207,2.486,-0.339,0.084,0.089,0.101
"result.1660",0.00611169638046224,0.0187236233744438,0.204,2.451,-0.323,0.082,0.08,0.1
"result.1661",0.0559996640230097,0.00439056407021376,0.13,2.402,-0.28,0.081,0.079,0.1
"result.1662",0.000500758973306704,0.0177862985249062,0.267,2.452,-0.388,0.081,0.08,0.1
"result.1663",0.0153326958521103,0.304766222492292,0.182,2.329,-0.211,0.084,0.091,0.102
"result.1664",0.00727103628283594,0.0728186698325195,0.2,2.355,-0.284,0.082,0.088,0.1
