"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.545",0.314682559464005,0.534297857822283,0.042,2.446,-0.037,0.087,0.092,0.104
"result.546",0.822518285145586,0.490934364086824,-0.078,2.407,0.076,0.084,0.081,0.101
"result.547",0.78039750023706,0.56942584088493,-0.065,2.305,0.075,0.084,0.086,0.102
"result.548",0.788952566057529,0.8962863964126,-0.069,2.44,0.14,0.086,0.084,0.103
"result.549",0.604064434564099,0.861258921005702,-0.022,2.422,0.083,0.084,0.076,0.101
"result.550",0.0497209835118014,0.266010890333774,0.14,2.534,-0.176,0.085,0.081,0.102
"result.551",0.481410592317664,0.287078236627735,0.004,2.409,-0.036,0.084,0.079,0.101
"result.552",0.719144430561215,0.954888599101418,-0.048,2.185,0.145,0.084,0.087,0.101
"result.553",0.25858284400985,0.08276906705348,0.054,2.454,-0.133,0.084,0.082,0.101
"result.554",0.479395576139906,0.845035147967651,0.004,2.269,0.053,0.082,0.085,0.099
"result.555",0.0296556793206636,0.280936361242906,0.164,2.633,-0.197,0.087,0.084,0.104
"result.556",0.783813434198377,0.514482384430907,-0.066,2.368,0.068,0.084,0.083,0.101
"result.557",0.361071058508086,0.14813783517618,0.03,2.322,-0.089,0.084,0.088,0.101
"result.558",0.3989911410019,0.529691964759711,0.022,2.519,-0.018,0.086,0.081,0.103
"result.559",0.713337627160492,0.201399310561046,-0.048,2.444,0,0.085,0.081,0.102
"result.560",0.837396705310143,0.784831551469207,-0.086,2.437,0.131,0.088,0.086,0.104
"result.561",0.584814966365426,0.600621418303578,-0.018,2.402,0.033,0.087,0.092,0.104
"result.562",0.113456481327951,0.808280851611972,0.103,2.503,-0.054,0.085,0.083,0.102
"result.563",0.183913322210633,0.501271761472421,0.078,2.526,-0.078,0.087,0.081,0.103
"result.564",0.648590773377692,0.972572641943841,-0.033,2.426,0.141,0.087,0.084,0.103
"result.565",0.908598353428767,0.467085211914666,-0.115,2.44,0.11,0.086,0.079,0.103
"result.566",0.215937801317079,0.444271773471007,0.068,2.455,-0.076,0.087,0.09,0.104
"result.567",0.178229847903475,0.0770895038346955,0.08,2.503,-0.16,0.086,0.09,0.103
"result.568",0.217974416346869,0.523671652475715,0.066,2.371,-0.062,0.084,0.09,0.101
"result.569",0.877783403763824,0.523192755596464,-0.1,2.389,0.103,0.086,0.08,0.103
"result.570",0.386143938815775,0.507344925179647,0.025,2.402,-0.024,0.086,0.088,0.103
"result.571",0.129414487613588,0.24446184149791,0.098,2.482,-0.137,0.087,0.09,0.104
"result.572",0.885614903728179,0.780049223813524,-0.101,2.355,0.145,0.084,0.077,0.101
"result.573",0.731010228467138,0.445045611418915,-0.053,2.386,0.045,0.086,0.088,0.103
"result.574",0.456978142879425,0.100242287767937,0.009,2.394,-0.082,0.084,0.085,0.102
"result.575",0.73859789604166,0.399887879167811,-0.054,2.504,0.04,0.085,0.079,0.102
"result.576",0.706796621995416,0.208646680815078,-0.046,2.278,0,0.085,0.088,0.102
"result.577",0.318883008176841,0.40397925265089,0.041,2.439,-0.054,0.086,0.084,0.103
"result.578",0.222692658819846,0.910185462968543,0.064,2.296,0.012,0.083,0.087,0.101
"result.579",0.704331944863004,0.529573332499413,-0.045,2.308,0.049,0.083,0.082,0.101
"result.580",0.449863057489751,0.466629032394415,0.011,2.409,-0.016,0.085,0.081,0.103
"result.581",0.842726453113926,0.580024763149686,-0.085,2.343,0.096,0.084,0.083,0.102
"result.582",0.989301081417524,0.598396007469434,-0.196,2.398,0.21,0.085,0.078,0.102
"result.583",0.349379377823334,0.185001877408181,0.033,2.468,-0.083,0.085,0.084,0.102
"result.584",0.529997277744511,0.152347754615063,-0.006,2.409,-0.052,0.083,0.076,0.101
"result.585",0.193438917597527,0.738976339114405,0.073,2.272,-0.036,0.084,0.087,0.102
"result.586",0.5104964868868,0.884599533128722,-0.002,2.291,0.071,0.086,0.09,0.103
"result.587",0.589268605406821,0.506363713896663,-0.019,2.473,0.02,0.086,0.087,0.103
"result.588",0.404971837586225,0.188841153509402,0.021,2.548,-0.07,0.085,0.079,0.102
"result.589",0.915107368053929,0.843074155805707,-0.116,2.352,0.174,0.085,0.076,0.102
"result.590",0.920107442190639,0.210243461775273,-0.124,2.52,0.079,0.088,0.079,0.105
"result.591",0.952934027708651,0.768414632014908,-0.141,2.26,0.183,0.084,0.086,0.102
"result.592",0.151285945863253,0.497618017621503,0.087,2.477,-0.087,0.084,0.081,0.102
"result.593",0.280092689797631,0.626573746007724,0.05,2.427,-0.032,0.086,0.091,0.103
"result.594",0.16472975008435,0.0566025445015097,0.084,2.537,-0.173,0.086,0.089,0.103
"result.595",0.585266843635317,0.867133067262417,-0.018,2.393,0.081,0.085,0.088,0.102
"result.596",0.81110453860675,0.138323483547809,-0.075,2.279,0.013,0.085,0.087,0.103
"result.597",0.203170514414007,0.175486106922773,0.07,2.476,-0.122,0.084,0.079,0.101
"result.598",0.325722099915266,0.641559558821887,0.039,2.389,-0.018,0.085,0.087,0.102
"result.599",0.621101488229065,0.272551301600472,-0.027,2.579,-0.007,0.089,0.082,0.105
"result.600",0.32792261091218,0.626510793277275,0.038,2.419,-0.02,0.085,0.087,0.102
"result.601",0.777926823949179,0.679259554491638,-0.064,2.406,0.09,0.083,0.078,0.101
"result.602",0.603193064788624,0.808515906922289,-0.022,2.304,0.072,0.083,0.084,0.101
"result.603",0.558222531565145,0.543725175507482,-0.012,2.444,0.018,0.084,0.077,0.101
"result.604",0.341250102795438,0.0391789708779758,0.036,2.511,-0.135,0.087,0.091,0.104
"result.605",0.152150291824884,0.519177393328241,0.087,2.402,-0.084,0.085,0.09,0.102
"result.606",0.55561882662421,0.466620048740623,-0.011,2.332,0.007,0.083,0.086,0.101
"result.607",0.957671551767215,0.66683270537113,-0.146,2.276,0.17,0.085,0.085,0.102
"result.608",0.235077360891335,0.0642224887972593,0.062,2.492,-0.148,0.085,0.084,0.102
"result.609",0.452341977136233,0.360703243534817,0.011,2.553,-0.031,0.087,0.084,0.104
"result.610",0.20556094655669,0.152140282662021,0.069,2.404,-0.127,0.084,0.089,0.101
"result.611",0.111381095557793,0.176925172425626,0.103,2.522,-0.155,0.084,0.077,0.101
"result.612",0.623755214163902,0.373765694968793,-0.026,2.373,0.008,0.084,0.081,0.102
"result.613",0.494187229539696,0.421825787260146,0.001,2.381,-0.012,0.084,0.085,0.102
"result.614",0.603272043221016,0.795773720409727,-0.022,2.44,0.069,0.085,0.079,0.102
"result.615",0.0200678724771827,0.514038582940398,0.172,2.388,-0.17,0.084,0.087,0.101
"result.616",0.351269757674195,0.525432176980634,0.033,2.421,-0.03,0.087,0.092,0.104
"result.617",0.625647610199703,0.673714873601672,-0.027,2.328,0.053,0.085,0.09,0.103
"result.618",0.751449930842421,0.679576082482218,-0.058,2.43,0.085,0.086,0.086,0.103
"result.619",0.58976317673844,0.196678194594959,-0.019,2.5,-0.029,0.085,0.077,0.102
"result.620",0.962858431745331,0.977001788589127,-0.151,2.279,0.265,0.085,0.087,0.102
"result.621",0.28747665222867,0.205415301640832,0.05,2.656,-0.096,0.089,0.082,0.105
"result.622",0.552889057067194,0.44053620661557,-0.011,2.34,0.003,0.084,0.089,0.101
"result.623",0.902631746151693,0.889006602610279,-0.113,2.363,0.183,0.087,0.086,0.104
"result.624",0.728645731239224,0.815457766127936,-0.052,2.442,0.103,0.086,0.083,0.103
"result.625",0.282759325124975,0.313320171459039,0.051,2.508,-0.078,0.088,0.089,0.104
"result.626",0.743411446086172,0.813111175475915,-0.056,2.458,0.106,0.086,0.08,0.103
"result.627",0.75378834403993,0.879453577104749,-0.058,2.412,0.124,0.085,0.081,0.102
"result.628",0.503614476914146,0.714531401771831,-0.001,2.489,0.032,0.086,0.082,0.102
"result.629",0.872375918141961,0.725928589181661,-0.097,2.385,0.131,0.085,0.078,0.102
"result.630",0.437337741129469,0.501675645689397,0.013,2.367,-0.013,0.084,0.087,0.101
"result.631",0.674005470228467,0.522071098598626,-0.039,2.37,0.042,0.086,0.088,0.103
"result.632",0.00760823561931931,0.216496608453701,0.209,2.551,-0.254,0.086,0.089,0.103
"result.633",0.352270953458868,0.030860818029947,0.033,2.47,-0.139,0.086,0.085,0.103
"result.634",0.0826282183816301,0.190121643220568,0.12,2.447,-0.17,0.086,0.089,0.103
"result.635",0.0173928155945505,0.197208172892393,0.183,2.537,-0.231,0.087,0.091,0.104
"result.636",0.269665282481435,0.789591706389256,0.053,2.464,-0.008,0.087,0.088,0.103
"result.637",0.752516094256635,0.818737740557776,-0.058,2.414,0.11,0.085,0.08,0.102
"result.638",0.698889778555914,0.874064651720282,-0.043,2.379,0.108,0.084,0.076,0.101
"result.639",0.924302364143334,0.794661903814749,-0.123,2.295,0.169,0.086,0.088,0.103
"result.640",0.527855048705158,0.550924111349299,-0.006,2.313,0.013,0.082,0.08,0.1
"result.641",0.608713087656911,0.278480143463623,-0.024,2.347,-0.01,0.086,0.088,0.103
"result.642",0.995111250962245,0.784027749880783,-0.221,2.207,0.266,0.086,0.089,0.103
"result.643",0.317247626442512,0.836041010573314,0.04,2.34,0.016,0.084,0.085,0.101
"result.644",0.70250659163398,0.0933037112213779,-0.045,2.446,-0.03,0.085,0.082,0.102
"result.645",0.491956306232469,0.299733189194071,0.002,2.353,-0.032,0.085,0.092,0.102
"result.646",0.249681022206459,0.254550000743042,0.058,2.505,-0.095,0.086,0.083,0.103
"result.647",0.196164634838869,0.538187462813559,0.072,2.409,-0.066,0.084,0.085,0.101
"result.648",0.521266714840278,0.728741144834553,-0.005,2.599,0.039,0.089,0.08,0.105
"result.649",0.417152491760849,0.234777548329365,0.018,2.478,-0.059,0.085,0.079,0.102
"result.650",0.903588886868447,0.324054777293444,-0.111,2.387,0.086,0.086,0.09,0.103
"result.651",0.503247171172251,0.36308745208445,-0.001,2.518,-0.019,0.088,0.088,0.104
"result.652",0.734440442000043,0.568316047507449,-0.054,2.461,0.064,0.086,0.077,0.103
"result.653",0.186840502122868,0.540919127870007,0.074,2.308,-0.068,0.083,0.09,0.101
"result.654",0.323731428132246,0.843093475685432,0.04,2.586,0.016,0.088,0.079,0.104
"result.655",0.285211801003221,0.49264446044562,0.049,2.486,-0.05,0.087,0.09,0.103
"result.656",0.816795313184329,0.396977733462523,-0.077,2.455,0.062,0.085,0.082,0.102
"result.657",0.44531120462584,0.649119692122065,0.012,2.408,0.01,0.085,0.081,0.102
"result.658",0.203192070246321,0.259678204069003,0.071,2.505,-0.107,0.086,0.089,0.102
"result.659",0.865455647484977,0.341619749360275,-0.094,2.269,0.071,0.085,0.089,0.103
"result.660",0.361276611105134,0.246048284996161,0.03,2.447,-0.069,0.085,0.085,0.102
"result.661",0.680155335804936,0.354729925552039,-0.039,2.399,0.018,0.083,0.078,0.101
"result.662",0.879097208633171,0.91963050005662,-0.102,2.429,0.181,0.087,0.083,0.104
"result.663",0.0269320497557837,0.375313623571175,0.163,2.473,-0.181,0.085,0.091,0.102
"result.664",0.0975075096960034,0.162793533538256,0.109,2.448,-0.164,0.084,0.086,0.101
"result.665",0.805009529028232,0.547591406118845,-0.074,2.265,0.081,0.086,0.091,0.104
"result.666",0.234919212126524,0.725438503469654,0.062,2.402,-0.027,0.085,0.092,0.102
"result.667",0.0304050793445405,0.355388155333935,0.16,2.524,-0.18,0.085,0.081,0.102
"result.668",0.953961873792823,0.80866563593997,-0.146,2.439,0.195,0.087,0.081,0.103
"result.669",0.581230611872933,0.834511173621923,-0.017,2.317,0.073,0.083,0.077,0.101
"result.670",0.168560987375069,0.515344761700745,0.082,2.539,-0.08,0.085,0.081,0.102
"result.671",0.545354922490732,0.287141252888662,-0.009,2.451,-0.022,0.084,0.076,0.101
"result.672",0.289139679449012,0.653399530838543,0.047,2.443,-0.025,0.085,0.082,0.102
"result.673",0.52424749720383,0.26681727709855,-0.005,2.477,-0.03,0.087,0.09,0.104
"result.674",0.301624879782226,0.674817375252466,0.045,2.371,-0.019,0.086,0.093,0.103
"result.675",0.0498470238113865,0.182810654821051,0.145,2.496,-0.196,0.088,0.09,0.105
"result.676",0.900200694831451,0.648282094282991,-0.107,2.309,0.129,0.084,0.081,0.101
"result.677",0.820160009447724,0.547589762758875,-0.078,2.378,0.085,0.086,0.088,0.103
"result.678",0.353866165747183,0.871055447988867,0.032,2.365,0.032,0.086,0.092,0.103
"result.679",0.872695237330597,0.619951981960816,-0.097,2.42,0.114,0.085,0.079,0.102
"result.680",0.268768491879501,0.0697211456130069,0.052,2.447,-0.136,0.085,0.086,0.102
"result.681",0.111019465149896,0.91004962451759,0.105,2.512,-0.029,0.086,0.081,0.103
"result.682",0.123911860257466,0.213073484800721,0.099,2.541,-0.143,0.085,0.081,0.102
"result.683",0.622513019869505,0.330190195006056,-0.026,2.336,0.001,0.084,0.087,0.102
"result.684",0.310625782681353,0.216983312099082,0.042,2.526,-0.086,0.085,0.083,0.102
"result.685",0.411375811486411,0.278318905047351,0.019,2.424,-0.053,0.085,0.083,0.102
"result.686",0.231226757944851,0.121080096088068,0.062,2.444,-0.128,0.084,0.09,0.101
"result.687",0.716682612513937,0.395459226953234,-0.048,2.259,0.033,0.084,0.088,0.101
"result.688",0.675849954034359,0.630632622294526,-0.039,2.381,0.058,0.085,0.088,0.102
"result.689",0.114402264723939,0.238778065983744,0.101,2.343,-0.142,0.084,0.09,0.102
"result.690",0.565732404171473,0.604160736078238,-0.014,2.436,0.029,0.085,0.089,0.102
