"","post_prob_death_CR","post_prob_liberation_CR","trt_death_CR","trt_liberation_CR","trt_interaction_trt_ext_CR_inla","sd_death_CR","sd_liberation_CR","sd_interaction_trt_ext_CR_inla"
"result.1238",0.419071705414459,0.999972663925661,0.018,2.507,0.204,0.087,0.087,0.103
"result.1239",0.557934235075352,0.99982332066761,-0.013,2.392,0.213,0.087,0.091,0.104
"result.1240",0.927851818795754,0.999999811439066,-0.127,2.34,0.384,0.087,0.076,0.103
"result.1241",0.999975416525353,0.999999811424889,-0.369,2.355,0.647,0.093,0.08,0.108
"result.1242",0.999870081060761,0.999999811440137,-0.329,2.338,0.631,0.09,0.081,0.107
"result.1243",0.939888694045706,0.999999811398316,-0.134,2.357,0.391,0.086,0.076,0.103
"result.1244",0.916859660191878,0.999687124776009,-0.123,2.424,0.315,0.089,0.082,0.105
"result.1245",0.997999588435644,0.999698544560009,-0.262,2.429,0.454,0.091,0.078,0.107
"result.1246",0.998478986572115,0.999999811447567,-0.264,2.326,0.53,0.089,0.079,0.106
"result.1247",0.875551426420369,0.999158349976629,-0.099,2.372,0.276,0.086,0.086,0.103
"result.1248",0.930375430276325,0.999998847235013,-0.132,2.376,0.371,0.089,0.084,0.106
"result.1249",0.971155129227771,0.99909339550874,-0.165,2.322,0.342,0.087,0.086,0.104
"result.1250",0.991735995664401,0.99983335957051,-0.214,2.458,0.413,0.089,0.079,0.105
"result.1251",0.919135961724568,0.999960142511417,-0.123,2.398,0.342,0.088,0.078,0.105
"result.1252",0.993010089989879,0.999999811439955,-0.217,2.354,0.473,0.089,0.078,0.105
"result.1253",0.976125879058629,0.999999811415056,-0.173,2.339,0.455,0.087,0.078,0.104
"result.1254",0.929292539674666,0.998988714986151,-0.132,2.39,0.305,0.09,0.089,0.106
"result.1255",0.996245816717907,0.9999921494886,-0.232,2.288,0.465,0.087,0.078,0.103
"result.1256",0.998933118229703,0.99999981143319,-0.28,2.422,0.54,0.091,0.078,0.107
"result.1257",0.995689591154868,0.999999811433411,-0.233,2.241,0.493,0.089,0.088,0.105
"result.1258",0.99727525184085,0.998814633027346,-0.242,2.273,0.414,0.087,0.088,0.104
"result.1259",0.980721796084113,0.999999811366061,-0.185,2.304,0.504,0.089,0.088,0.106
"result.1260",0.862008836749695,0.993495399455209,-0.097,2.427,0.237,0.089,0.091,0.106
"result.1261",0.915397091265309,0.999999811428053,-0.122,2.326,0.365,0.089,0.09,0.105
"result.1262",0.866255195178657,0.999999811439341,-0.099,2.413,0.37,0.09,0.084,0.106
"result.1263",0.968549380123888,0.999999811436941,-0.161,2.303,0.447,0.087,0.078,0.104
"result.1264",0.71743910385802,0.999990919379122,-0.05,2.402,0.283,0.088,0.078,0.105
"result.1265",0.999847627847823,0.999999811438098,-0.317,2.294,0.563,0.088,0.088,0.105
"result.1266",0.962768588863945,0.99950883920894,-0.162,2.436,0.348,0.091,0.083,0.107
"result.1267",0.999909160034672,0.999999811422735,-0.32,2.149,0.583,0.086,0.084,0.103
"result.1268",0.989659874461004,0.999934330025779,-0.206,2.378,0.419,0.089,0.08,0.105
"result.1269",0.999795628428546,0.999999811409777,-0.315,2.271,0.556,0.09,0.086,0.106
"result.1270",0.898482886007352,0.999848316865944,-0.111,2.309,0.315,0.088,0.089,0.104
"result.1271",0.999843913176,0.999995086890524,-0.315,2.186,0.552,0.088,0.089,0.105
"result.1272",0.992201814655625,0.999999811423906,-0.212,2.336,0.453,0.088,0.082,0.104
"result.1273",0.579506133752413,0.9891394673069,-0.018,2.468,0.147,0.089,0.09,0.106
"result.1274",0.909489673404421,0.999996689413276,-0.12,2.418,0.358,0.09,0.082,0.106
"result.1275",0.981077240509533,0.999975069861169,-0.182,2.24,0.408,0.088,0.086,0.104
"result.1276",0.985263401343136,0.999995613849903,-0.195,2.413,0.429,0.09,0.08,0.106
"result.1277",0.906708549900373,0.999999811444455,-0.121,2.482,0.37,0.092,0.084,0.107
"result.1278",0.915003051636582,0.999766218040139,-0.121,2.37,0.319,0.089,0.086,0.105
"result.1279",0.985798749423258,0.99951675157266,-0.19,2.311,0.377,0.087,0.078,0.104
"result.1280",0.972963257686765,0.999999811443316,-0.167,2.264,0.412,0.087,0.08,0.104
"result.1281",0.98928533420567,0.999999811416308,-0.206,2.382,0.461,0.09,0.08,0.106
"result.1282",0.999307393341102,0.99999502462571,-0.281,2.298,0.516,0.088,0.077,0.104
"result.1283",0.986081338818163,0.999999811435442,-0.194,2.265,0.443,0.089,0.093,0.105
"result.1284",0.995029089743216,0.999999430607008,-0.223,2.176,0.465,0.087,0.089,0.104
"result.1285",0.988812600956685,0.999999811431621,-0.201,2.288,0.486,0.088,0.093,0.105
"result.1286",0.954133020958913,0.999967169398669,-0.151,2.408,0.372,0.09,0.087,0.106
"result.1287",0.99267237671917,0.999999811433192,-0.215,2.292,0.518,0.088,0.08,0.105
"result.1288",0.91744301763044,0.999963618327885,-0.122,2.369,0.342,0.088,0.079,0.104
"result.1289",0.960273868104775,0.997523079390455,-0.155,2.368,0.313,0.089,0.09,0.105
"result.1290",0.853406087554145,0.999311557500309,-0.092,2.409,0.273,0.088,0.083,0.105
"result.1291",0.99570027178233,0.999844613443059,-0.233,2.317,0.437,0.089,0.087,0.105
"result.1292",0.813693189784036,0.999999811401937,-0.078,2.392,0.388,0.088,0.079,0.105
"result.1293",0.977290141659508,0.999989805505006,-0.178,2.27,0.41,0.089,0.092,0.105
"result.1294",0.999726170134652,0.999999811429489,-0.306,2.252,0.618,0.089,0.083,0.105
"result.1295",0.99645253613026,0.999923541453158,-0.242,2.265,0.455,0.09,0.095,0.106
"result.1296",0.985915742411732,0.99998033708301,-0.192,2.384,0.417,0.088,0.077,0.104
"result.1297",0.98162917087475,0.999999811398898,-0.18,2.319,0.422,0.086,0.079,0.103
"result.1298",0.256790577531946,0.999995233610378,0.058,2.393,0.178,0.089,0.092,0.105
"result.1299",0.965723180529197,0.998963475705846,-0.162,2.44,0.335,0.089,0.083,0.105
"result.1300",0.972302816606479,0.999999811422074,-0.168,2.277,0.412,0.088,0.089,0.105
"result.1301",0.995281437042941,0.999096022674664,-0.228,2.35,0.403,0.088,0.082,0.104
"result.1302",0.999630675208779,0.999999811437423,-0.292,2.16,0.592,0.087,0.085,0.104
"result.1303",0.999684054393691,0.999998710572266,-0.3,2.265,0.54,0.088,0.079,0.105
"result.1304",0.998849490735151,0.999999811411799,-0.265,2.236,0.526,0.087,0.082,0.104
"result.1305",0.990259062026111,0.999973189013727,-0.208,2.391,0.431,0.089,0.082,0.105
"result.1306",0.962654319577124,0.999999811434446,-0.158,2.431,0.42,0.089,0.079,0.105
"result.1307",0.999651086120209,0.999999811407083,-0.295,2.239,0.599,0.087,0.084,0.104
"result.1308",0.971250594549581,0.998771508922447,-0.174,2.545,0.343,0.092,0.081,0.107
"result.1309",0.987306078294153,0.998585176276485,-0.2,2.367,0.367,0.089,0.088,0.106
"result.1310",0.742472718141785,0.99565504546832,-0.056,2.373,0.205,0.087,0.088,0.104
"result.1311",1,0.999999811425159,-0.385,2.147,0.656,0.088,0.088,0.105
"result.1312",0.999695986416089,0.999999811430582,-0.308,2.277,0.605,0.09,0.083,0.106
"result.1313",0.986481328203433,0.999999811443577,-0.198,2.333,0.448,0.09,0.083,0.106
"result.1314",0.868732150236002,0.999715458954505,-0.101,2.421,0.295,0.09,0.088,0.106
"result.1315",0.952220080348079,0.998021933468172,-0.148,2.449,0.308,0.089,0.086,0.105
"result.1316",0.997803815472614,0.999999811446634,-0.261,2.303,0.536,0.092,0.089,0.108
"result.1317",0.99397004656515,0.999833981854133,-0.222,2.308,0.424,0.089,0.086,0.105
"result.1318",0.995303827306354,0.999890974697434,-0.23,2.318,0.438,0.089,0.082,0.105
"result.1319",0.404648914486054,0.99883624127668,0.022,2.518,0.15,0.09,0.085,0.106
"result.1320",0.979321123845218,0.99999441470719,-0.179,2.306,0.414,0.088,0.09,0.104
"result.1321",0.991965265067784,0.999996161189782,-0.215,2.36,0.452,0.09,0.082,0.106
